year,month,train_start,train_end,train_obs,arima_order,seasonal_order,aic,loglik,mse_oob,mape_oob,coef_ma1,coef_ma2,coef_ma3,coef_ma4,coef_sma1,coef_ar1,coef_sar1,coef_sar2,coef_sar3,coef_ma5,coef_ar2,coef_ar3
2018,1,2018-01-01,2018-02-26,2688,"(0, 0, 4)","(0, 1, 1, 48)",-14140.845248998094,7076.422624499047,169622.36934143823,0.04966856443955539,1.8877933892941878,2.162229945009897,1.5472819961013926,0.6135996667446333,-0.5733812426359912,,,,,,,
2018,3,2018-03-01,2018-04-26,2688,"(1, 0, 0)","(3, 1, 0, 48)",-16514.63381508977,8262.316907544886,459896.3525400355,0.07692453617226044,,,,,,0.9881654146146144,-0.4235851047497799,-0.38765877584159847,-0.15770137694125916,,,
2018,6,2018-06-01,2018-07-27,2688,"(1, 0, 5)","(3, 1, 0, 48)",-17743.58512061619,8881.792560308095,39023.991152081704,0.01697658688515236,0.6023781523113193,0.6120006086026819,0.41957206229258004,0.23521253891401558,,0.9240329222625303,-0.4789083069947907,-0.3366824543692643,-0.20988009836311322,0.06749943941777868,,
2018,9,2018-09-01,2018-10-27,2688,"(1, 0, 4)","(3, 1, 0, 48)",-17111.887338428285,8564.943669214143,469860.62649778306,0.08633394672510919,0.47837975701087543,0.3925578374558573,0.24198766694774357,0.11654295872717853,,0.9549816684886033,-0.5492321985345386,-0.37363166064011455,-0.21135474610723118,,,
2019,1,2019-01-01,2019-02-26,2688,"(1, 0, 5)","(2, 1, 0, 48)",-17531.120542554912,8774.560271277456,242158.4290066179,0.04413397086851012,0.4482942752054037,0.5258591934345188,0.3703752968572649,0.2198940723370168,,0.9795693002115526,-0.5235391279856347,-0.3533199185748743,,0.12198003735023467,,
2019,3,2019-03-01,2019-04-26,2688,"(1, 0, 4)","(3, 1, 0, 48)",-17561.172593597083,8789.586296798541,83640.50566002807,0.032200899476704264,0.502248890750376,0.4321531143644393,0.25303269151887714,0.14171947343757943,,0.9617376615801306,-0.549297857409815,-0.34475572072035887,-0.21150533656198245,,,
2019,6,2019-06-01,2019-07-27,2688,"(1, 0, 5)","(3, 1, 0, 48)",-17837.742073722613,8928.871036861306,651516.8542355582,0.08594922847619117,0.5889075279838367,0.6711020837679598,0.461439978439678,0.2369227008729854,,0.9320668801827192,-0.4956388756543308,-0.3198773684662374,-0.17975119101233245,0.07886371646360796,,
2019,9,2019-09-01,2019-10-27,2688,"(3, 0, 3)","(2, 1, 1, 48)",-17018.5605426243,8519.28027131215,560761.2541313876,0.09820788711980732,0.8043479217758266,-0.05940907913956865,0.11117238731849305,,-0.6052248500388788,0.5895417969227879,-0.053761601432004785,-0.20380279797459472,,,0.9355161955508466,-0.5616943485629547
