year,month,train_start,train_end,train_obs,arima_order,seasonal_order,aic,loglik,mse_oob,mape_oob,coef_ar1,coef_ar2,coef_ma1,coef_sar1,coef_sma1,coef_intercept,coef_ex_1,coef_ex_2,coef_ex_3,coef_ex_4,coef_ex_5,coef_ex_6,coef_ex_7,coef_ex_8,coef_ex_9,coef_ex_10,coef_ex_11
2017,1,2017-01-01,2017-02-26,2688,"(2, 0, 1)","(1, 0, 1, 48)",34179.309039922526,-17071.526382081905,840775.3687150223,0.13027676976067623,0.4969537566823588,0.46707910648759754,1.5058104299124262,0.8927805506940232,-0.7275080465994462,-13981.186000856087,-33.25945392500478,35.933699820782806,97.45709244411114,-0.011979358021108055,42.75235012202342,123.89582289018327,0.23435648492321093,0.10556453545857925,0.4232540204684958,16.58368798571641,-3.4262105883446825
2017,3,2017-03-01,2017-04-26,2688,"(2, 0, 1)","(1, 0, 1, 48)",29457.579638380386,-14710.661681310838,250303.80037825284,0.05390845208624726,1.7077653104332264,-0.71952030926512,-0.3303747215887904,0.9704979600979577,-0.7332587628532687,-8143.115726561518,0.04733940930832681,34.91849236870419,-1.1481549803147573,-0.13968465236905558,-0.37786854202151554,-0.0002971367277453396,0.032959116048647985,0.040428336325145434,0.3901574217988302,10.39450152675991,6.256298443376445
2017,6,2017-06-01,2017-07-27,2688,"(2, 0, 1)","(1, 0, 1, 48)",29992.340921763916,-14978.042323002603,44368.36683649972,0.0215811654011408,1.6339993503900074,-0.6537548282825817,-0.19316586835106245,0.9982446281004377,-0.93443688801163,38796.04742784514,1.0595535556407185,-90.98145066661718,-9.131039675141608,-0.061036899579221426,-6.623976691156386,-0.46517130223468683,-0.673667221019226,0.1510918773074891,0.5302203886471941,17.436774910170186,-8.860753320015606
2017,9,2017-09-01,2017-10-27,2688,"(2, 0, 1)","(1, 0, 1, 48)",29580.07647511252,-14771.910099676905,18828.619109680432,0.015928170659245195,1.6938714300539708,-0.7134160504489446,-0.34477487026130793,0.9837088790451195,-0.8195394645029946,-11311.953267448502,-1.384867803822175,39.71589202990367,-3.1072455330989897,-0.17607891004251996,-1.9607142698440754,0.6382270354105533,-0.04029833591226151,0.032025978949697276,0.45915018963827325,12.176290950119107,2.1225190018272637
2018,1,2018-01-01,2018-02-26,2688,"(2, 0, 1)","(1, 0, 1, 48)",32002.70078090963,-15983.222252575459,3966176.6196936467,0.2600623466294552,0.20360440928628354,0.7942015518124573,0.8970302567928664,0.9998883534723118,-0.9798325032331352,402.43185166584533,60.244956859764265,17.995443216261123,43.9129431084758,-0.16950441965564167,0.5651025485917494,38.66816833825006,0.5667125603177526,0.330821262634168,0.1992429602488166,-3.121196325716282,4.829593543626165
2018,3,2018-03-01,2018-04-26,2688,"(2, 0, 1)","(1, 0, 1, 48)",31059.033099340882,-15511.388411791086,191021.58142920907,0.047747423266340544,0.4739213602546909,0.49728600778382426,1.4545528789721955,0.9794277855000277,-0.7248956087544818,1064.2073527930763,-11.767512521784758,0.6512395805245532,43.261742351719164,-0.7596825229066653,8.010426706230254,46.712145170421536,-0.22081578546165614,0.030829186718788648,0.3095073815487078,-0.45788323375128565,0.7969776434428975
2018,6,2018-06-01,2018-07-27,2688,"(2, 0, 1)","(1, 0, 1, 48)",30368.776517712515,-15166.260120976902,108860.39008610269,0.028924706297428868,1.6282566629521265,-0.6493535947630251,-0.1772795573975684,0.9982845356457588,-0.9265946857706966,32080.026304380517,-0.28846127900166607,-61.51932157677405,-6.698279063224021,0.04794067646116673,-9.300767553368603,-0.21544318233845416,-0.7144853169825502,0.4115224801628229,0.4085403852322458,16.069405779102002,-7.73361486334744
2018,9,2018-09-01,2018-10-27,2688,"(2, 0, 1)","(1, 0, 1, 48)",30139.765842519646,-15051.754783380467,242189.11184030154,0.059308481012543234,1.622852384510943,-0.6422275437433522,-0.2314852754341816,0.9859630232863563,-0.8201518622942928,-7746.888936498632,0.08596475295115624,28.28853497130359,-5.528484590976831,-0.28167465838663475,0.5907727566208942,2.6146950238390154,-0.05417116677698175,-0.062007766835830404,0.35635545989899464,11.890416493761343,4.045208770925199
