year,month,train_start,train_end,train_obs,arima_order,seasonal_order,aic,loglik,mse_oob,mape_oob,coef_ma1,coef_sma1,coef_drift,coef_ar1,coef_sar1
2018,1,2018-01-01,2018-02-26,2688,"(0, 0, 1)","(0, 1, 1, 48)",-8577.418539742966,4292.709269871483,60960111.48963448,868.4865533178312,0.9538281556107732,-0.28799253764011,1.6960114060206264e-05,,
2018,3,2018-03-01,2018-04-26,2688,"(1, 0, 0)","(1, 1, 0, 48)",-16165.486780676414,8086.743390338207,46453013.2043821,760.0868327309896,,,-7.820415704139563e-05,0.9883278527137249,-0.27832675866155726
2018,6,2018-06-01,2018-07-27,2688,"(1, 0, 0)","(1, 1, 0, 48)",-16089.673300827473,8048.836650413737,78433783.7210194,970.2722287876203,,,5.235100992832361e-05,0.9834793726050322,-0.16023754347051708
2018,9,2018-09-01,2018-10-27,2688,"(1, 0, 0)","(1, 1, 0, 48)",-15921.391946030859,7964.695973015429,55450549.72919625,840.6007633045457,,,-1.4442533532170011e-06,0.9853167736307356,-0.2818439654779594
2019,1,2019-01-01,2019-02-26,2688,"(0, 0, 0)","(0, 1, 0, 48)",-4066.4405190645866,2034.2202595322933,60442838.66292107,859.5280261403086,,,,,
2019,3,2019-03-01,2019-04-26,2688,"(1, 0, 0)","(1, 1, 0, 48)",-16269.632683518625,8138.816341759312,46159590.283254445,761.5543616501417,,,-4.679110216051272e-05,0.9889968219988634,-0.3075672779217594
2019,6,2019-06-01,2019-07-27,2688,"(1, 0, 0)","(1, 1, 0, 48)",-16101.720233728383,8054.860116864192,80378521.0927272,990.0830680381436,,,7.448470465323327e-05,0.984586745065608,-0.20367627245324887
2019,9,2019-09-01,2019-10-27,2688,"(1, 0, 0)","(1, 1, 0, 48)",-15823.371832452207,7915.6859162261035,44852052.118222296,760.5463983361536,,,-0.00010570849760954025,0.9866531892049558,-0.2563277626586065
