year,month,train_start,train_end,train_obs,arima_order,seasonal_order,aic,loglik,mse_oob,mape_oob,coef_ar1,coef_ar2,coef_ma1,coef_sar1,coef_intercept,coef_ex_1,coef_ex_2,coef_ex_3,coef_ex_4,coef_ex_5,coef_ex_6,coef_ex_7,coef_ex_8,coef_ex_9,coef_ex_10,coef_ex_11,coef_ex_12,coef_ex_13,coef_ex_14,coef_ex_15,coef_ex_16,coef_ex_17,coef_ma2,coef_ma3,coef_ma4,coef_ma5
2018,1,2018-01-01,2018-02-26,2688,"(2, 0, 1)","(1, 0, 0, 48)",-18049.651132614425,9047.825566307212,121046.9882144091,0.040080608590925694,1.8769525157873155,-0.8868219877758879,-0.41446292679225943,0.34709370490551456,4.18922050171229,-0.08018423342647961,-0.00472779791823733,-0.0002062274730004459,0.10544532322761561,-0.011649781693083327,-0.0112317605743135,-0.03596109901465183,-0.010367483318137109,0.0036420538476778343,0.0020993181089460334,0.050620038464259366,-0.03560414579075482,0.001594181654838818,0.00777707542199621,0.5300860605969668,-0.0007804286803576648,0.00023695036168930195,,,,
2018,3,2018-03-01,2018-04-26,2688,"(2, 1, 2)","(1, 0, 0, 48)",-17783.80331233974,8914.90165616987,422973.05614066496,0.07500111015366867,1.4714990905312575,-0.6170159048723857,-1.1367670718772516,0.47148203274632955,,0.012716983912390485,-0.0032932389156315792,0.000290800348282742,-0.38452833619377486,0.025975048841258102,0.0018801228479795491,-0.0035163929641882433,0.009503069227307138,0.009005274662505097,0.007331906911121482,-0.00258638507434072,-0.009826261633621235,-0.030342971074087923,-0.006308460494138623,0.527919357828476,-0.00019192445162027487,0.0007992296713005879,0.46939173007190044,,,
2018,6,2018-06-01,2018-07-27,2688,"(2, 1, 0)","(1, 0, 0, 48)",-18021.565407240552,9031.782703620276,155438.8621285169,0.03996795652080395,0.3071992629685694,0.21560791757526077,,0.19957612993792245,,0.008618316191376475,0.0032313000792126294,0.0013100887843788944,0.9875496856142899,-0.042439720766277146,0.018271855543764096,0.009559005876672093,-0.003437943927774838,0.018511180571369943,-0.03439506598037193,0.004671477913058305,0.008898758208408181,-0.005291065993833742,0.009609436647899925,0.8844483998803137,0.00016798604490016569,0.0002987406044272342,,,,
2018,9,2018-09-01,2018-10-27,2688,"(1, 1, 1)","(1, 0, 0, 48)",-17452.939212660393,8747.469606330196,185700.8385073766,0.05056139801042725,0.677558603140326,,-0.320416598803066,0.2988701661286419,,0.0016007998519490137,0.0007532314465828037,-0.0011484218814263073,-2.225088766202009,-0.04366958593308315,-0.014029923673976158,0.0119685303916449,0.01940685583222836,0.014403150596029196,-6.479637302284304e-05,0.03284341355561433,-0.012658389392624219,0.0026267523904030007,-0.008883718508165299,0.6988103457481142,-0.0006584496518574235,0.0004482199765031225,,,,
2019,1,2019-01-01,2019-02-26,2688,"(1, 0, 5)","(1, 0, 0, 48)",-17913.106428008374,8982.553214004187,226946.491309032,0.04973394066296551,0.9746218041562023,,0.4595976540221045,0.276020631055603,4.015744807503463,-0.015581918858874787,0.004044076308796781,-0.0003537668567266028,-0.18546043577748952,-0.0062836658035514215,0.007116994279465185,0.013307754845273136,-0.025160635137428992,0.04192304106052065,0.024242336852340517,-0.035884319507260204,0.009092439882424957,-0.005536837901901501,0.0006743697556240687,0.5695703369737702,-0.0007634484617997936,0.00015367724486201279,0.5342412412124958,0.39920257800345327,0.27419558962688034,0.20475118472309128
2019,3,2019-03-01,2019-04-26,2688,"(2, 1, 0)","(1, 0, 0, 48)",-17790.507315062227,8916.253657531113,834725.9979516849,0.10603371768585601,0.41299853917593743,0.19455840470506036,,0.4842115862996923,,-0.0018002174748426285,-0.003256763121644048,-0.0006475145054770459,-0.4973550503388101,0.016354391440313656,-0.024510992760100537,0.021361279771762425,-0.008168744533952768,0.006871100238027369,0.011656706230554306,-0.022942333090262036,-0.02120338749851125,0.01656737573167923,-0.0019352148432273144,0.5046184853220448,-0.0007082747393738862,0.0003213879003410293,,,,
2019,6,2019-06-01,2019-07-27,2688,"(2, 1, 2)","(1, 0, 0, 48)",-18361.038748056635,9203.519374028318,38498.37922437064,0.02096268010895198,0.8684652815753318,-0.2018027231016365,-0.49693422032882006,0.18009956371873964,,-0.03439041840226576,-0.0018047947338019727,0.00036282708195286894,-0.49783408479595154,-0.05391028015560331,-0.0021155762179044858,-0.001081296264003351,0.0017855569748415167,0.010971556866638307,0.0058835676113240115,-0.026348183328446552,-0.0039211400584495916,-0.014754749220793924,0.03787991123375761,0.8636863586872654,-3.4855553088998284e-05,0.00031925114725576563,0.30904561261341223,,,
2019,9,2019-09-01,2019-10-27,2688,"(2, 0, 4)","(1, 0, 0, 48)",-17315.747653057457,8683.873826528728,145692.14311749043,0.05097810232870564,1.4438350376908053,-0.49097998308189156,-0.14226877989297124,0.3690758011964925,3.5801008579932474,0.031075207432203128,-0.001674320008231626,0.00035264032257110886,0.058393012884812946,-0.017661496627133642,-0.041232641289321914,0.004925630759800076,-0.0191389588125646,-0.03477354038274685,0.002410576232128699,-0.02321062531515503,-0.0024188178973028308,-0.021317637986764806,0.009183263689513336,0.5931931141659857,-0.0010214686908409955,0.0006488070042979681,0.17811390095762714,0.10938986123946964,0.13195632286156467,
