year,month,train_start,train_end,train_obs,arima_order,seasonal_order,aic,loglik,mse_oob,mape_oob,coef_ar1,coef_ar2,coef_sar1,coef_ma1,coef_ma2,coef_sar2,coef_ma3,coef_ma4,coef_sar3,coef_sma1
2018,1,2018-01-01,2018-02-26,2689,"(2, 1, 0)","(1, 1, 0, 48)",-17333.3825390482,8670.6912695241,1173256.2757442445,0.12734736661419332,0.4340488806254347,0.2510660484395585,-0.3990794280726875,,,,,,,
2018,3,2018-03-01,2018-04-26,2689,"(2, 1, 2)","(2, 1, 0, 48)",-17326.46706194563,8670.233530972815,122007.29703361623,0.038934657632512415,0.8539486444047619,-0.24144795013705647,-0.4819263329681767,-0.4589605874977595,0.33165417104120687,-0.30992415944032925,,,,
2018,6,2018-06-01,2018-07-27,2689,"(2, 1, 4)","(3, 1, 0, 48)",-17746.018555880284,8883.009277940142,221864.69068602496,0.040965336602125264,1.4210581502815671,-0.5757723736376247,-0.49376186368827424,-0.8964257506655721,0.3132519362836893,-0.34677857533467293,-0.12896524425121,-0.08743303404057395,-0.21215440678059885,
2018,9,2018-09-01,2018-10-27,2689,"(2, 1, 0)","(2, 1, 0, 48)",-16890.804683765957,8450.402341882978,441101.184948386,0.0829555727329313,0.4527497759173236,0.09390534864100326,-0.46537112287468807,,,-0.2734815046965994,,,,
2019,1,2019-01-01,2019-02-26,2689,"(1, 1, 1)","(2, 1, 0, 48)",-17462.88341081931,8736.441705409656,210182.53065347712,0.041889547841074126,0.825390852506285,,-0.5122413350714446,-0.3347973318610625,,-0.35330722099209966,,,,
2019,3,2019-03-01,2019-04-26,2689,"(2, 1, 0)","(2, 1, 0, 48)",-17343.652749267727,8676.826374633863,90641.8480397947,0.036857339716957975,0.4767988070294261,0.11836251062471828,-0.493455950257375,,,-0.253495653117148,,,,
2019,6,2019-06-01,2019-07-27,2689,"(1, 1, 0)","(2, 1, 0, 48)",-17414.546899914436,8711.273449957218,864269.0182177318,0.0984625781421574,0.6143886715886797,,-0.4411590390298373,,,-0.2340118530862156,,,,
2019,9,2019-09-01,2019-10-27,2689,"(2, 1, 2)","(2, 1, 1, 48)",-17019.35945801183,8517.679729005915,300763.6022102908,0.07599026542437012,1.431302268528702,-0.6583336642629313,-0.06409304010752358,-1.0371342292849022,0.4210650466677081,-0.2069648405061275,,,,-0.5945123422594811
