,DAILY_SOLAR_EXPOSURE,DATE
1051,20.1,2012-11-17
1052,24.9,2012-11-18
1053,21.0,2012-11-19
1054,22.9,2012-11-20
1055,26.0,2012-11-21
1056,6.4,2012-11-22
1057,20.2,2012-11-23
1058,28.3,2012-11-24
1059,31.9,2012-11-25
1060,20.1,2012-11-26
1061,11.0,2012-11-27
1062,4.5,2012-11-28
1063,26.2,2012-11-29
1064,21.5,2012-11-30
1065,19.0,2012-12-01
1066,18.8,2012-12-02
1067,10.2,2012-12-03
1068,33.2,2012-12-04
1069,33.1,2012-12-05
1070,33.3,2012-12-06
1071,14.0,2012-12-07
1072,30.7,2012-12-08
1073,19.9,2012-12-09
1074,7.3,2012-12-10
1075,15.9,2012-12-11
1076,22.2,2012-12-12
1077,33.8,2012-12-13
1078,13.0,2012-12-14
1079,6.4,2012-12-15
1080,27.4,2012-12-16
1081,7.4,2012-12-17
1082,33.4,2012-12-18
1083,21.5,2012-12-19
1084,21.4,2012-12-20
1085,12.2,2012-12-21
1086,18.6,2012-12-22
1087,29.6,2012-12-23
1088,25.0,2012-12-24
1089,2.5,2012-12-25
1090,11.9,2012-12-26
1091,30.7,2012-12-27
1092,29.8,2012-12-28
1093,29.6,2012-12-29
1094,16.6,2012-12-30
1095,34.1,2012-12-31
1096,32.4,2013-01-01
1097,17.1,2013-01-02
1098,26.3,2013-01-03
1099,33.5,2013-01-04
1100,33.5,2013-01-05
1101,33.2,2013-01-06
1102,26.1,2013-01-07
1103,24.8,2013-01-08
1104,28.5,2013-01-09
1105,12.2,2013-01-10
1106,30.1,2013-01-11
1107,16.1,2013-01-12
1108,5.3,2013-01-13
1109,27.9,2013-01-14
1110,25.0,2013-01-15
1111,30.6,2013-01-16
1112,31.6,2013-01-17
1113,26.9,2013-01-18
1114,9.0,2013-01-19
1115,9.6,2013-01-20
1116,16.4,2013-01-21
1117,18.5,2013-01-22
1118,15.8,2013-01-23
1119,27.1,2013-01-24
1120,26.6,2013-01-25
1121,22.8,2013-01-26
1122,3.4,2013-01-27
1123,2.5,2013-01-28
1124,17.5,2013-01-29
1125,19.8,2013-01-30
1126,29.6,2013-01-31
1127,12.6,2013-02-01
1128,8.0,2013-02-02
1129,16.1,2013-02-03
1130,21.8,2013-02-04
1131,25.8,2013-02-05
1132,26.5,2013-02-06
1133,30.3,2013-02-07
1134,30.1,2013-02-08
1135,21.8,2013-02-09
1136,22.5,2013-02-10
1137,6.1,2013-02-11
1138,7.7,2013-02-12
1139,20.4,2013-02-13
1140,22.3,2013-02-14
1141,15.8,2013-02-15
1142,17.8,2013-02-16
1143,19.4,2013-02-17
1144,19.9,2013-02-18
1145,24.8,2013-02-19
1146,22.7,2013-02-20
1147,24.2,2013-02-21
1148,18.4,2013-02-22
1149,3.9,2013-02-23
1150,20.2,2013-02-24
1151,20.1,2013-02-25
1152,18.2,2013-02-26
1153,21.3,2013-02-27
1154,5.6,2013-02-28
1155,3.0,2013-03-01
1156,10.4,2013-03-02
1157,13.5,2013-03-03
1158,21.6,2013-03-04
1159,21.9,2013-03-05
1160,16.3,2013-03-06
1161,25.8,2013-03-07
1162,16.7,2013-03-08
1163,22.2,2013-03-09
1164,23.5,2013-03-10
1165,19.0,2013-03-11
1166,15.5,2013-03-12
1167,24.3,2013-03-13
1168,9.1,2013-03-14
1169,8.6,2013-03-15
1170,23.2,2013-03-16
1171,22.1,2013-03-17
1172,22.5,2013-03-18
1173,20.0,2013-03-19
1174,18.1,2013-03-20
1175,19.7,2013-03-21
1176,14.4,2013-03-22
1177,16.4,2013-03-23
1178,21.8,2013-03-24
1179,20.4,2013-03-25
1180,15.3,2013-03-26
1181,18.6,2013-03-27
1182,14.1,2013-03-28
1183,16.0,2013-03-29
1184,19.6,2013-03-30
1185,15.9,2013-03-31
1186,16.6,2013-04-01
1187,20.4,2013-04-02
1188,4.6,2013-04-03
1189,8.1,2013-04-04
1190,10.8,2013-04-05
1191,10.4,2013-04-06
1192,16.7,2013-04-07
1193,15.7,2013-04-08
1194,15.6,2013-04-09
1195,18.2,2013-04-10
1196,18.4,2013-04-11
1197,14.8,2013-04-12
1198,17.9,2013-04-13
1199,17.6,2013-04-14
1200,10.7,2013-04-15
1201,8.6,2013-04-16
1202,11.8,2013-04-17
1203,13.4,2013-04-18
1204,14.4,2013-04-19
1205,5.5,2013-04-20
1206,16.0,2013-04-21
1207,15.1,2013-04-22
1208,15.1,2013-04-23
1209,15.9,2013-04-24
1210,15.6,2013-04-25
1211,15.2,2013-04-26
1212,15.0,2013-04-27
1213,15.0,2013-04-28
1214,14.1,2013-04-29
1215,7.7,2013-04-30
1216,13.4,2013-05-01
1217,13.5,2013-05-02
1218,14.9,2013-05-03
1219,13.4,2013-05-04
1220,12.0,2013-05-05
1221,13.1,2013-05-06
1222,10.1,2013-05-07
1223,11.9,2013-05-08
1224,13.6,2013-05-09
1225,13.3,2013-05-10
1226,11.5,2013-05-11
1227,11.9,2013-05-12
1228,8.2,2013-05-13
1229,11.9,2013-05-14
1230,12.6,2013-05-15
1231,9.1,2013-05-16
1232,12.4,2013-05-17
1233,12.4,2013-05-18
1234,12.2,2013-05-19
1235,11.6,2013-05-20
1236,10.7,2013-05-21
1237,5.6,2013-05-22
1238,3.4,2013-05-23
1239,6.1,2013-05-24
1240,11.4,2013-05-25
1241,11.4,2013-05-26
1242,9.5,2013-05-27
1243,8.1,2013-05-28
1244,7.9,2013-05-29
1245,9.7,2013-05-30
1246,10.1,2013-05-31
1247,6.4,2013-06-01
1248,3.4,2013-06-02
1249,11.0,2013-06-03
1250,10.4,2013-06-04
1251,8.9,2013-06-05
1252,6.1,2013-06-06
1253,6.8,2013-06-07
1254,7.3,2013-06-08
1255,9.5,2013-06-09
1256,7.2,2013-06-10
1257,9.8,2013-06-11
1258,3.2,2013-06-12
1259,9.6,2013-06-13
1260,9.4,2013-06-14
1261,8.4,2013-06-15
1262,10.0,2013-06-16
1263,8.1,2013-06-17
1264,9.6,2013-06-18
1265,8.6,2013-06-19
1266,9.5,2013-06-20
1267,9.0,2013-06-21
1268,7.0,2013-06-22
1269,3.2,2013-06-23
1270,5.2,2013-06-24
1271,3.5,2013-06-25
1272,5.8,2013-06-26
1273,5.6,2013-06-27
1274,4.2,2013-06-28
1275,3.2,2013-06-29
1276,5.7,2013-06-30
1277,10.3,2013-07-01
1278,10.6,2013-07-02
1279,11.0,2013-07-03
1280,11.0,2013-07-04
1281,10.1,2013-07-05
1282,11.2,2013-07-06
1283,10.9,2013-07-07
1284,10.9,2013-07-08
1285,9.0,2013-07-09
1286,7.0,2013-07-10
1287,10.7,2013-07-11
1288,10.9,2013-07-12
1289,7.5,2013-07-13
1290,10.2,2013-07-14
1291,5.7,2013-07-15
1292,8.1,2013-07-16
1293,7.8,2013-07-17
1294,9.0,2013-07-18
1295,4.0,2013-07-19
1296,10.0,2013-07-20
1297,12.3,2013-07-21
1298,11.8,2013-07-22
1299,11.5,2013-07-23
1300,10.3,2013-07-24
1301,12.6,2013-07-25
1302,12.7,2013-07-26
1303,12.7,2013-07-27
1304,11.2,2013-07-28
1305,12.6,2013-07-29
1306,9.7,2013-07-30
1307,10.8,2013-07-31
1308,12.9,2013-08-01
1309,11.6,2013-08-02
1310,13.1,2013-08-03
1311,13.2,2013-08-04
1312,13.6,2013-08-05
1313,12.7,2013-08-06
1314,12.8,2013-08-07
1315,6.4,2013-08-08
1316,12.9,2013-08-09
1317,14.5,2013-08-10
1318,14.7,2013-08-11
1319,10.4,2013-08-12
1320,15.1,2013-08-13
1321,15.1,2013-08-14
1322,15.5,2013-08-15
1323,15.8,2013-08-16
1324,13.5,2013-08-17
1325,15.9,2013-08-18
1326,14.6,2013-08-19
1327,16.6,2013-08-20
1328,15.9,2013-08-21
1329,13.1,2013-08-22
1330,9.6,2013-08-23
1331,16.4,2013-08-24
1332,17.0,2013-08-25
1333,16.1,2013-08-26
1334,16.4,2013-08-27
1335,17.1,2013-08-28
1336,12.8,2013-08-29
1337,17.8,2013-08-30
1338,16.1,2013-08-31
1339,17.0,2013-09-01
1340,16.9,2013-09-02
1341,17.1,2013-09-03
1342,17.7,2013-09-04
1343,16.9,2013-09-05
1344,16.5,2013-09-06
1345,17.6,2013-09-07
1346,5.3,2013-09-08
1347,13.3,2013-09-09
1348,17.9,2013-09-10
1349,16.4,2013-09-11
1350,18.3,2013-09-12
1351,13.9,2013-09-13
1352,15.7,2013-09-14
1353,15.5,2013-09-15
1354,3.8,2013-09-16
1355,14.0,2013-09-17
1356,17.2,2013-09-18
1357,21.2,2013-09-19
1358,17.2,2013-09-20
1359,21.0,2013-09-21
1360,20.7,2013-09-22
1361,21.6,2013-09-23
1362,15.5,2013-09-24
1363,21.3,2013-09-25
1364,21.9,2013-09-26
1365,23.0,2013-09-27
1366,22.9,2013-09-28
1367,22.6,2013-09-29
1368,22.6,2013-09-30
1369,14.1,2013-10-01
1370,23.5,2013-10-02
1371,11.7,2013-10-03
1372,23.3,2013-10-04
1373,23.0,2013-10-05
1374,23.5,2013-10-06
1375,17.4,2013-10-07
1376,21.1,2013-10-08
1377,25.1,2013-10-09
1378,23.9,2013-10-10
1379,23.2,2013-10-11
1380,25.4,2013-10-12
1381,25.0,2013-10-13
1382,21.6,2013-10-14
1383,26.4,2013-10-15
1384,26.7,2013-10-16
1385,20.5,2013-10-17
1386,24.5,2013-10-18
1387,26.7,2013-10-19
1388,25.1,2013-10-20
1389,25.2,2013-10-21
1390,4.1,2013-10-22
1391,24.0,2013-10-23
1392,25.4,2013-10-24
1393,26.3,2013-10-25
1394,25.1,2013-10-26
1395,22.8,2013-10-27
1396,17.4,2013-10-28
1397,16.3,2013-10-29
1398,23.2,2013-10-30
1399,25.6,2013-10-31
1400,20.8,2013-11-01
1401,22.1,2013-11-02
1402,17.8,2013-11-03
1403,27.1,2013-11-04
1404,16.8,2013-11-05
1405,28.2,2013-11-06
1406,27.4,2013-11-07
1407,22.6,2013-11-08
1408,21.9,2013-11-09
1409,3.7,2013-11-10
1410,3.4,2013-11-11
1411,8.9,2013-11-12
1412,24.7,2013-11-13
1413,28.2,2013-11-14
1414,18.1,2013-11-15
1415,15.6,2013-11-16
1416,3.4,2013-11-17
1417,3.2,2013-11-18
1418,22.1,2013-11-19
1419,29.1,2013-11-20
1420,23.6,2013-11-21
1421,6.5,2013-11-22
1422,17.9,2013-11-23
1423,27.6,2013-11-24
1424,17.8,2013-11-25
1425,20.4,2013-11-26
1426,29.9,2013-11-27
1427,26.8,2013-11-28
1428,2.6,2013-11-29
1429,19.7,2013-11-30
1430,20.8,2013-12-01
1431,28.4,2013-12-02
1432,32.2,2013-12-03
1433,22.2,2013-12-04
1434,18.4,2013-12-05
1435,31.7,2013-12-06
1436,30.9,2013-12-07
1437,31.4,2013-12-08
1438,10.1,2013-12-09
1439,29.2,2013-12-10
1440,30.7,2013-12-11
1441,25.1,2013-12-12
1442,31.3,2013-12-13
1443,19.1,2013-12-14
1444,18.6,2013-12-15
1445,16.4,2013-12-16
1446,30.6,2013-12-17
1447,29.6,2013-12-18
1448,32.2,2013-12-19
1449,28.3,2013-12-20
1450,30.0,2013-12-21
1451,23.4,2013-12-22
1452,9.4,2013-12-23
1453,5.6,2013-12-24
1454,3.1,2013-12-25
1455,27.8,2013-12-26
1456,26.4,2013-12-27
1457,30.3,2013-12-28
1458,33.0,2013-12-29
1459,31.7,2013-12-30
1460,31.5,2013-12-31
1461,21.7,2014-01-01
1462,12.5,2014-01-02
1463,22.8,2014-01-03
1464,32.9,2014-01-04
1465,28.2,2014-01-05
1466,34.2,2014-01-06
1467,13.2,2014-01-07
1468,9.0,2014-01-08
1469,16.9,2014-01-09
1470,24.4,2014-01-10
1471,27.0,2014-01-11
1472,25.2,2014-01-12
1473,28.7,2014-01-13
1474,32.1,2014-01-14
1475,32.1,2014-01-15
1476,32.3,2014-01-16
1477,31.8,2014-01-17
1478,32.2,2014-01-18
1479,24.7,2014-01-19
1480,11.7,2014-01-20
1481,8.2,2014-01-21
1482,3.4,2014-01-22
1483,10.6,2014-01-23
1484,13.4,2014-01-24
1485,21.2,2014-01-25
1486,8.6,2014-01-26
1487,28.0,2014-01-27
1488,31.0,2014-01-28
1489,30.8,2014-01-29
1490,30.7,2014-01-30
1491,30.2,2014-01-31
1492,25.0,2014-02-01
1493,27.3,2014-02-02
1494,29.6,2014-02-03
1495,4.9,2014-02-04
1496,17.3,2014-02-05
1497,12.5,2014-02-06
1498,29.4,2014-02-07
1499,28.9,2014-02-08
1500,29.2,2014-02-09
1501,13.6,2014-02-10
1502,12.0,2014-02-11
1503,11.0,2014-02-12
1504,19.2,2014-02-13
1505,7.5,2014-02-14
1506,5.9,2014-02-15
1507,3.2,2014-02-16
1508,12.9,2014-02-17
1509,14.7,2014-02-18
1510,3.4,2014-02-19
1511,27.4,2014-02-20
1512,27.1,2014-02-21
1513,20.5,2014-02-22
1514,18.1,2014-02-23
1515,23.8,2014-02-24
1516,23.3,2014-02-25
1517,17.7,2014-02-26
1518,4.5,2014-02-27
1519,3.3,2014-02-28
1520,6.3,2014-03-01
1521,9.7,2014-03-02
1522,14.3,2014-03-03
1523,10.3,2014-03-04
1524,19.2,2014-03-05
1525,9.7,2014-03-06
1526,15.7,2014-03-07
1527,20.1,2014-03-08
1528,19.4,2014-03-09
1529,20.6,2014-03-10
1530,20.7,2014-03-11
1531,16.3,2014-03-12
1532,15.9,2014-03-13
1533,17.7,2014-03-14
1534,14.6,2014-03-15
1535,13.3,2014-03-16
1536,22.9,2014-03-17
1537,20.6,2014-03-18
1538,19.5,2014-03-19
1539,17.0,2014-03-20
1540,14.2,2014-03-21
1541,17.5,2014-03-22
1542,15.9,2014-03-23
1543,2.9,2014-03-24
1544,15.9,2014-03-25
1545,4.9,2014-03-26
1546,3.5,2014-03-27
1547,6.9,2014-03-28
1548,13.9,2014-03-29
1549,16.5,2014-03-30
1550,15.2,2014-03-31
1551,14.9,2014-04-01
1552,18.7,2014-04-02
1553,16.4,2014-04-03
1554,3.2,2014-04-04
1555,12.9,2014-04-05
1556,7.8,2014-04-06
1557,11.3,2014-04-07
1558,8.7,2014-04-08
1559,12.5,2014-04-09
1560,3.8,2014-04-10
1561,11.7,2014-04-11
1562,7.4,2014-04-12
1563,9.1,2014-04-13
1564,11.9,2014-04-14
1565,13.0,2014-04-15
1566,12.1,2014-04-16
1567,15.4,2014-04-17
1568,16.4,2014-04-18
1569,15.0,2014-04-19
1570,15.7,2014-04-20
1571,16.0,2014-04-21
1572,15.0,2014-04-22
1573,14.7,2014-04-23
1574,14.1,2014-04-24
1575,6.8,2014-04-25
1576,6.6,2014-04-26
1577,6.0,2014-04-27
1578,9.6,2014-04-28
1579,13.5,2014-04-29
1580,12.0,2014-04-30
1581,14.6,2014-05-01
1582,11.0,2014-05-02
1583,6.1,2014-05-03
1584,13.1,2014-05-04
1585,13.0,2014-05-05
1586,13.2,2014-05-06
1587,12.9,2014-05-07
1588,11.7,2014-05-08
1589,10.8,2014-05-09
1590,10.6,2014-05-10
1591,11.2,2014-05-11
1592,11.6,2014-05-12
1593,11.4,2014-05-13
1594,12.1,2014-05-14
1595,12.7,2014-05-15
1596,12.7,2014-05-16
1597,12.3,2014-05-17
1598,8.7,2014-05-18
1599,11.4,2014-05-19
1600,10.2,2014-05-20
1601,10.9,2014-05-21
1602,11.7,2014-05-22
1603,11.3,2014-05-23
1604,10.1,2014-05-24
1605,10.1,2014-05-25
1606,11.0,2014-05-26
1607,9.8,2014-05-27
1608,11.2,2014-05-28
1609,9.5,2014-05-29
1610,10.0,2014-05-30
1611,7.9,2014-05-31
1612,3.8,2014-06-01
1613,8.3,2014-06-02
1614,10.8,2014-06-03
1615,10.3,2014-06-04
1616,4.6,2014-06-05
1617,6.0,2014-06-06
1618,10.6,2014-06-07
1619,9.2,2014-06-08
1620,7.7,2014-06-09
1621,6.2,2014-06-10
1622,6.7,2014-06-11
1623,9.8,2014-06-12
1624,6.7,2014-06-13
1625,6.9,2014-06-14
1626,5.9,2014-06-15
1627,10.4,2014-06-16
1628,10.3,2014-06-17
1629,10.3,2014-06-18
1630,10.4,2014-06-19
1631,6.4,2014-06-20
1632,10.3,2014-06-21
1633,7.2,2014-06-22
1634,4.5,2014-06-23
1635,10.5,2014-06-24
1636,10.5,2014-06-25
1637,10.5,2014-06-26
1638,9.8,2014-06-27
1639,10.0,2014-06-28
1640,10.5,2014-06-29
1641,10.7,2014-06-30
1642,10.6,2014-07-01
1643,10.5,2014-07-02
1644,10.9,2014-07-03
1645,11.1,2014-07-04
1646,10.5,2014-07-05
1647,10.7,2014-07-06
1648,10.9,2014-07-07
1649,11.1,2014-07-08
1650,11.0,2014-07-09
1651,11.0,2014-07-10
1652,11.1,2014-07-11
1653,10.8,2014-07-12
1654,11.1,2014-07-13
1655,9.7,2014-07-14
1656,4.9,2014-07-15
1657,7.3,2014-07-16
1658,10.9,2014-07-17
1659,11.3,2014-07-18
1660,9.2,2014-07-19
1661,7.2,2014-07-20
1662,10.8,2014-07-21
1663,10.8,2014-07-22
1664,11.2,2014-07-23
1665,8.0,2014-07-24
1666,4.2,2014-07-25
1667,6.7,2014-07-26
1668,12.3,2014-07-27
1669,10.7,2014-07-28
1670,10.7,2014-07-29
1671,12.2,2014-07-30
1672,13.0,2014-07-31
1673,11.4,2014-08-01
1674,13.2,2014-08-02
1675,11.6,2014-08-03
1676,12.9,2014-08-04
1677,13.4,2014-08-05
1678,13.6,2014-08-06
1679,12.2,2014-08-07
1680,10.2,2014-08-08
1681,13.0,2014-08-09
1682,10.1,2014-08-10
1683,10.4,2014-08-11
1684,10.6,2014-08-12
1685,13.9,2014-08-13
1686,13.5,2014-08-14
1687,13.8,2014-08-15
1688,7.7,2014-08-16
1689,5.7,2014-08-17
1690,4.7,2014-08-18
1691,8.5,2014-08-19
1692,12.3,2014-08-20
1693,12.0,2014-08-21
1694,13.2,2014-08-22
1695,9.3,2014-08-23
1696,14.2,2014-08-24
1697,15.0,2014-08-25
1698,5.3,2014-08-26
1699,12.0,2014-08-27
1700,12.4,2014-08-28
1701,11.1,2014-08-29
1702,5.9,2014-08-30
1703,16.7,2014-08-31
1704,16.3,2014-09-01
1705,7.9,2014-09-02
1706,15.3,2014-09-03
1707,11.2,2014-09-04
1708,14.6,2014-09-05
1709,9.7,2014-09-06
1710,12.2,2014-09-07
1711,15.5,2014-09-08
1712,17.2,2014-09-09
1713,17.4,2014-09-10
1714,19.2,2014-09-11
1715,7.6,2014-09-12
1716,11.7,2014-09-13
1717,19.2,2014-09-14
1718,18.0,2014-09-15
1719,13.3,2014-09-16
1720,20.1,2014-09-17
1721,20.8,2014-09-18
1722,19.5,2014-09-19
1723,18.5,2014-09-20
1724,17.8,2014-09-21
1725,19.2,2014-09-22
1726,20.2,2014-09-23
1727,18.8,2014-09-24
1728,9.2,2014-09-25
1729,16.5,2014-09-26
1730,17.1,2014-09-27
1731,21.1,2014-09-28
1732,21.2,2014-09-29
1733,15.5,2014-09-30
1734,21.9,2014-10-01
1735,22.1,2014-10-02
1736,17.1,2014-10-03
1737,18.2,2014-10-04
1738,22.7,2014-10-05
1739,21.9,2014-10-06
1740,21.2,2014-10-07
1741,17.6,2014-10-08
1742,17.8,2014-10-09
1743,19.5,2014-10-10
1744,23.8,2014-10-11
1745,24.0,2014-10-12
1746,10.9,2014-10-13
1747,9.5,2014-10-14
1748,6.7,2014-10-15
1749,23.3,2014-10-16
1750,17.9,2014-10-17
1751,21.8,2014-10-18
1752,25.9,2014-10-19
1753,11.2,2014-10-20
1754,7.0,2014-10-21
1755,24.8,2014-10-22
1756,26.1,2014-10-23
1757,21.9,2014-10-24
1758,25.9,2014-10-25
1759,26.5,2014-10-26
1760,17.1,2014-10-27
1761,19.6,2014-10-28
1762,26.9,2014-10-29
1763,26.7,2014-10-30
1764,26.1,2014-10-31
1765,22.1,2014-11-01
1766,27.5,2014-11-02
1767,21.0,2014-11-03
1768,23.5,2014-11-04
1769,12.2,2014-11-05
1770,23.8,2014-11-06
1771,28.5,2014-11-07
1772,29.6,2014-11-08
1773,28.9,2014-11-09
1774,14.4,2014-11-10
1775,8.7,2014-11-11
1776,18.3,2014-11-12
1777,21.7,2014-11-13
1778,26.3,2014-11-14
1779,10.8,2014-11-15
1780,17.0,2014-11-16
1781,29.0,2014-11-17
1782,27.9,2014-11-18
1783,21.3,2014-11-19
1784,25.5,2014-11-20
1785,27.0,2014-11-21
1786,26.0,2014-11-22
1787,24.6,2014-11-23
1788,13.4,2014-11-24
1789,15.7,2014-11-25
1790,14.1,2014-11-26
1791,5.3,2014-11-27
1792,26.3,2014-11-28
1793,30.7,2014-11-29
1794,23.1,2014-11-30
1795,20.0,2014-12-01
1796,28.0,2014-12-02
1797,20.5,2014-12-03
1798,13.1,2014-12-04
1799,20.8,2014-12-05
1800,16.9,2014-12-06
1801,20.3,2014-12-07
1802,21.1,2014-12-08
1803,14.9,2014-12-09
1804,11.2,2014-12-10
1805,3.9,2014-12-11
1806,23.1,2014-12-12
1807,23.2,2014-12-13
1808,31.3,2014-12-14
1809,31.8,2014-12-15
1810,20.9,2014-12-16
1811,18.6,2014-12-17
1812,21.6,2014-12-18
1813,27.5,2014-12-19
1814,27.6,2014-12-20
1815,30.6,2014-12-21
1816,26.8,2014-12-22
1817,15.3,2014-12-23
1818,21.1,2014-12-24
1819,19.0,2014-12-25
1820,29.9,2014-12-26
1821,8.7,2014-12-27
1822,10.8,2014-12-28
1823,30.6,2014-12-29
1824,33.3,2014-12-30
1825,26.4,2014-12-31
1826,30.6,2015-01-01
1827,19.3,2015-01-02
1828,31.4,2015-01-03
1829,23.5,2015-01-04
1830,15.5,2015-01-05
1831,24.6,2015-01-06
1832,29.2,2015-01-07
1833,31.7,2015-01-08
1834,21.6,2015-01-09
1835,14.3,2015-01-10
1836,3.4,2015-01-11
1837,15.2,2015-01-12
1838,21.9,2015-01-13
1839,28.3,2015-01-14
1840,28.4,2015-01-15
1841,29.6,2015-01-16
1842,32.2,2015-01-17
1843,30.6,2015-01-18
1844,3.8,2015-01-19
1845,21.1,2015-01-20
1846,26.5,2015-01-21
1847,27.1,2015-01-22
1848,28.1,2015-01-23
1849,23.5,2015-01-24
1850,29.7,2015-01-25
1851,3.2,2015-01-26
1852,3.5,2015-01-27
1853,5.1,2015-01-28
1854,27.0,2015-01-29
1855,27.6,2015-01-30
1856,28.5,2015-01-31
1857,20.5,2015-02-01
1858,23.1,2015-02-02
1859,26.1,2015-02-03
1860,17.1,2015-02-04
1861,12.9,2015-02-05
1862,19.5,2015-02-06
1863,21.0,2015-02-07
1864,27.6,2015-02-08
1865,11.2,2015-02-09
1866,18.1,2015-02-10
1867,22.1,2015-02-11
1868,23.8,2015-02-12
1869,17.1,2015-02-13
1870,14.9,2015-02-14
1871,20.0,2015-02-15
1872,24.5,2015-02-16
1873,26.0,2015-02-17
1874,24.8,2015-02-18
1875,12.8,2015-02-19
1876,15.4,2015-02-20
1877,8.4,2015-02-21
1878,15.4,2015-02-22
1879,16.5,2015-02-23
1880,18.0,2015-02-24
1881,9.4,2015-02-25
1882,13.0,2015-02-26
1883,20.0,2015-02-27
1884,20.0,2015-02-28
1885,14.7,2015-03-01
1886,9.9,2015-03-02
1887,20.5,2015-03-03
1888,20.0,2015-03-04
1889,22.6,2015-03-05
1890,23.7,2015-03-06
1891,15.8,2015-03-07
1892,21.7,2015-03-08
1893,24.0,2015-03-09
1894,11.8,2015-03-10
1895,19.1,2015-03-11
1896,19.9,2015-03-12
1897,3.5,2015-03-13
1898,21.4,2015-03-14
1899,14.0,2015-03-15
1900,15.0,2015-03-16
1901,11.2,2015-03-17
1902,16.6,2015-03-18
1903,21.9,2015-03-19
1904,11.9,2015-03-20
1905,10.9,2015-03-21
1906,6.6,2015-03-22
1907,17.4,2015-03-23
1908,3.7,2015-03-24
1909,15.8,2015-03-25
1910,20.5,2015-03-26
1911,21.3,2015-03-27
1912,19.5,2015-03-28
1913,16.6,2015-03-29
1914,9.5,2015-03-30
1915,8.6,2015-03-31
1916,14.6,2015-04-01
1917,13.6,2015-04-02
1918,3.5,2015-04-03
1919,3.5,2015-04-04
1920,17.7,2015-04-05
1921,14.4,2015-04-06
1922,15.7,2015-04-07
1923,12.6,2015-04-08
1924,13.7,2015-04-09
1925,11.7,2015-04-10
1926,11.0,2015-04-11
1927,13.1,2015-04-12
1928,13.7,2015-04-13
1929,15.5,2015-04-14
1930,16.3,2015-04-15
1931,14.5,2015-04-16
1932,4.9,2015-04-17
1933,11.3,2015-04-18
1934,15.2,2015-04-19
1935,2.9,2015-04-20
1936,3.1,2015-04-21
1937,3.5,2015-04-22
1938,12.1,2015-04-23
1939,13.5,2015-04-24
1940,12.9,2015-04-25
1941,5.5,2015-04-26
1942,13.3,2015-04-27
1943,14.8,2015-04-28
1944,9.6,2015-04-29
1945,8.0,2015-04-30
1946,7.8,2015-05-01
1947,7.4,2015-05-02
1948,7.1,2015-05-03
1949,7.9,2015-05-04
1950,13.7,2015-05-05
1951,14.0,2015-05-06
1952,13.8,2015-05-07
1953,13.6,2015-05-08
1954,13.4,2015-05-09
1955,11.6,2015-05-10
1956,12.1,2015-05-11
1957,13.1,2015-05-12
1958,12.2,2015-05-13
1959,12.9,2015-05-14
1960,11.9,2015-05-15
1961,12.1,2015-05-16
1962,10.3,2015-05-17
1963,7.8,2015-05-18
1964,5.2,2015-05-19
1965,10.9,2015-05-20
1966,9.7,2015-05-21
1967,5.4,2015-05-22
1968,11.3,2015-05-23
1969,11.8,2015-05-24
1970,9.5,2015-05-25
1971,11.0,2015-05-26
1972,10.0,2015-05-27
1973,9.9,2015-05-28
1974,3.4,2015-05-29
1975,6.4,2015-05-30
1976,4.4,2015-05-31
1977,11.3,2015-06-01
1978,11.2,2015-06-02
1979,10.7,2015-06-03
1980,11.0,2015-06-04
1981,9.7,2015-06-05
1982,10.6,2015-06-06
1983,10.8,2015-06-07
1984,11.0,2015-06-08
1985,9.5,2015-06-09
1986,4.4,2015-06-10
1987,6.6,2015-06-11
1988,7.5,2015-06-12
1989,9.3,2015-06-13
1990,9.5,2015-06-14
1991,6.4,2015-06-15
1992,3.2,2015-06-16
1993,3.9,2015-06-17
1994,6.5,2015-06-18
1995,7.6,2015-06-19
1996,10.1,2015-06-20
1997,6.8,2015-06-21
1998,10.5,2015-06-22
1999,10.2,2015-06-23
2000,9.5,2015-06-24
2001,5.5,2015-06-25
2002,10.2,2015-06-26
2003,10.6,2015-06-27
2004,10.5,2015-06-28
2005,9.7,2015-06-29
2006,8.1,2015-06-30
2007,10.1,2015-07-01
2008,10.4,2015-07-02
2009,10.2,2015-07-03
2010,10.8,2015-07-04
2011,10.8,2015-07-05
2012,10.9,2015-07-06
2013,7.1,2015-07-07
2014,9.5,2015-07-08
2015,10.8,2015-07-09
2016,4.8,2015-07-10
2017,10.8,2015-07-11
2018,9.5,2015-07-12
2019,8.8,2015-07-13
2020,11.2,2015-07-14
2021,11.3,2015-07-15
2022,5.6,2015-07-16
2023,7.0,2015-07-17
2024,9.0,2015-07-18
2025,9.6,2015-07-19
2026,9.4,2015-07-20
2027,11.5,2015-07-21
2028,7.3,2015-07-22
2029,8.0,2015-07-23
2030,8.1,2015-07-24
2031,12.2,2015-07-25
2032,11.8,2015-07-26
2033,12.5,2015-07-27
2034,12.2,2015-07-28
2035,12.4,2015-07-29
2036,12.2,2015-07-30
2037,12.5,2015-07-31
2038,9.9,2015-08-01
2039,11.1,2015-08-02
2040,13.1,2015-08-03
2041,11.8,2015-08-04
2042,7.4,2015-08-05
2043,12.8,2015-08-06
2044,13.1,2015-08-07
2045,12.1,2015-08-08
2046,13.5,2015-08-09
2047,13.8,2015-08-10
2048,13.4,2015-08-11
