,date,true_peak,true_peak_time,pred_peak,pred_peak_time,Total Train MSE,Total Train MAE,Total Train MAPE,Total Val MSE,Total Val MAE,Total Val MAPE,Peak Val MSE,Peak Val MAE,Peak Val MAPE
0,2010-03-16,10262.78,15:30:00,10091.001,11:00:00,2873.6613568034395,40.67147949218761,0.004938969841908724,35288.437222212895,144.91966471354175,0.01730306714798933,29508.0328931414,171.77902343750065,0.016738059613233516
1,2010-04-05,8838.39,18:30:00,8253.883,18:30:00,515.4800805048096,17.733675537109395,0.0024596013683629726,94896.82047971885,260.35617187500003,0.03353713952474457,341648.65223915945,584.5071874999994,0.06613276711029945
2,2010-04-25,8702.75,18:30:00,8935.444,18:30:00,478.73144425578795,16.38315470377601,0.002081891277603157,197471.0784185756,387.43288085937496,0.05169969669383953,54146.653977394104,232.6943359375,0.026738023720950275
3,2010-05-15,9732.1,18:00:00,10510.715,18:00:00,890.0449493781656,24.465689697265645,0.002688774648416851,522261.1991418698,617.5587467447916,0.07212695102560474,606241.0749078364,778.6148437499996,0.08000481332394854
4,2010-06-04,11191.34,18:00:00,11273.739,18:00:00,688.7690711425124,21.428644205729103,0.002315061166320785,19113.861707962787,118.99881713867187,0.012501040745088189,6789.637688050819,82.39925781249985,0.007362769589030434
5,2010-06-24,11362.0,18:00:00,11804.413,18:00:00,652.4882863982867,20.058387044270944,0.0021134809156132246,81315.32932775095,199.06022745768232,0.0203986173621124,195729.33860874176,442.4130859375,0.03893795862854251
6,2010-07-14,11364.2,18:30:00,11458.76,18:00:00,1063.6621487430532,24.881489664713587,0.002690086353335959,133438.56402303858,329.7890254720051,0.035921984659929775,8941.549275054795,94.55976562499927,0.008320846661005549
7,2010-08-03,11991.47,18:30:00,12465.302,18:30:00,1661.4407640946458,33.379810384114535,0.0034179210752689018,217464.17758172154,360.0865270996093,0.03858065273200805,224516.53471168427,473.83175781250065,0.039514067734189445
8,2010-08-23,11866.99,18:30:00,10559.585,18:30:00,474.2076940887473,17.34324462890631,0.0019916448567958976,1761042.092598724,1140.0673128255207,0.11267101495797287,1709307.9361660166,1307.4050390624998,0.1101715800773827
9,2010-09-12,9477.37,19:00:00,9379.595,19:00:00,307.66180773177706,13.915136311848945,0.0017052884833542038,132843.74262365012,302.12170613606776,0.03877426136274382,9560.00409577805,97.7752734375008,0.010316709534132443
10,2010-10-02,8982.51,18:30:00,9687.823,19:00:00,354.3384387473931,14.592508951822973,0.0017299910361512818,720915.5107759954,774.5084220377603,0.09864660995552943,497466.7696050427,705.3132421874998,0.078520729972747
