year,month,train_start,train_end,train_obs,arima_order,seasonal_order,aic,loglik,mse_oob,mape_oob,coef_ar1,coef_ar2,coef_ar3,coef_ar4,coef_ar5,coef_sma1,coef_sma2,coef_sma3,coef_intercept,coef_ex_1,coef_ex_2,coef_ex_3,coef_ex_4,coef_ex_5,coef_ex_6,coef_ex_7,coef_ex_8,coef_ex_9,coef_ex_10,coef_ex_11,coef_ex_12,coef_ex_13,coef_ex_14,coef_ex_15,coef_ex_16,coef_ex_17,coef_ma1,coef_sar1,coef_ma2,coef_sar2,coef_ma3,coef_ma4
2018,1,2018-01-01,2018-02-26,2688,"(5, 0, 0)","(0, 0, 3, 48)",-18149.216167340208,9101.608083670104,225508.9536694578,0.05358451508888673,1.4095562732021807,-0.08639179797481174,-0.26076050862739236,-0.11331039500023268,0.03630456153495639,0.2538413983665025,0.20949333788627614,0.09280098552733029,4.2466707496781035,-0.06967017857074746,-0.005414776562985338,-0.0009080919133864474,-0.028148884387358384,-0.012732367095689858,-0.01034561569668925,-0.03780094612886783,-0.009303411301988059,0.010006965255938426,0.005183463165628684,0.048080055658046184,-0.03619583739607804,-0.0034991477725858718,0.008223781513288099,0.5324189303547153,-0.0007994385167674519,0.0002694910040852718,,,,,,
2018,3,2018-03-01,2018-04-26,2688,"(5, 1, 1)","(1, 0, 0, 48)",-17860.667750772926,8955.333875386463,551114.1421044332,0.08463297879548042,1.2627503609213353,-0.04030419938937015,-0.14343498446463726,-0.12908179060102026,0.004876075952821355,,,,,-0.002064646145133719,-0.006035232859270127,-0.0010292634076592823,-0.4839487727788333,0.021104902979682972,-0.004903443630564774,-0.0009229017493549126,0.013764718508358939,0.005427896816934889,0.006278186356529963,0.0010962182464568124,-0.012506329859970177,-0.03012458455567279,-0.00025391390776328835,0.5196928770119355,-0.0001887270177045469,0.0006194586192461798,-0.9743808831518572,0.4722703970764743,,,,
2018,6,2018-06-01,2018-07-27,2688,"(4, 1, 2)","(1, 0, 0, 48)",-18112.852453054977,9081.426226527488,100952.05017847913,0.028064285666267032,0.43260000279548433,1.0108303711122726,-0.29805175581508236,-0.24592075049568016,,,,,,0.003656571175758978,0.0003860061588602729,0.0007945657084807356,0.9896449075449463,-0.038374714552768446,0.018432758984684976,0.0064844901245202525,-0.004984069507832632,0.0212738004482311,-0.03563042234375179,0.01070150940130556,0.019071185748912745,-0.0037310957930429636,0.006770922291750904,0.8498751986250873,0.00015010294728472394,0.00034999983449582095,-0.12683557116790148,0.2017324053069095,-0.82679322226886,,,
2018,9,2018-09-01,2018-10-27,2688,"(3, 1, 0)","(1, 0, 0, 48)",-17452.812120889044,8748.406060444522,184290.23459889845,0.05034967101345794,0.3524505776734438,0.12194220612836165,0.05027344008365828,,,,,,,0.0017647961859863304,0.0008313048878845373,-0.0011795923611127562,-2.283903302229118,-0.04310131993388356,-0.013700847707131208,0.012189979004810966,0.019822575179170205,0.014645963097889922,8.897231634227205e-06,0.03334778318401149,-0.012195415701570433,0.0022785410540721524,-0.008524110159333005,0.696702742128352,-0.0006573828103958445,0.00045628195375789797,,0.29872105081563277,,,,
2019,1,2019-01-01,2019-02-26,2688,"(4, 0, 1)","(2, 0, 0, 48)",-18153.127721035817,9102.563860517908,256142.87680038068,0.05094856088400871,0.7124460886277938,0.9233372528798461,-0.3578481342356504,-0.3036762396974986,,,,,5.437626862779678,-0.013110272870383965,0.00479602406226195,-0.0003327707826997784,-0.05686709630937446,-0.01634736455388728,-0.01584830047111373,0.007950487406220778,-0.01454500970549005,0.01809834161388531,0.018588197566234366,-0.03352742712264288,0.01749741526904535,-0.005876124752959888,-0.001022042058579021,0.4035091913348386,-0.0009341482842491631,0.00037087976914608765,0.700391300701805,0.3301031971174185,,0.1684074080355435,,
2019,3,2019-03-01,2019-04-26,2688,"(3, 1, 3)","(1, 0, 0, 48)",-17865.265349961504,8957.632674980752,911282.3934244601,0.11044166261284101,0.9872470305811115,0.554715613667518,-0.5967561974514313,,,,,,,-0.0016244808527308208,-0.004865856864722303,-0.0012102330677438333,-0.22407979242203888,0.020523120299573698,-0.017523689820886208,0.022194542985316174,-0.004856541585062836,0.007806508605322218,0.011787379682853847,-0.021118050896913473,-0.02330286770318412,0.017198997061082365,-0.0010867840743810735,0.5102462109400058,-0.0005472715540255135,0.00046215301721003275,-0.5844071581877244,0.45409758032895087,-0.6061664963381201,,0.23393044350211725,
2019,6,2019-06-01,2019-07-27,2688,"(3, 1, 2)","(1, 0, 0, 48)",-18456.172015173906,9252.086007586953,127830.38653568126,0.03917520583809575,1.3770249695961954,-0.15074065843022094,-0.2882725772329749,,,,,,,-0.023319657042167527,-0.00204071524408739,0.0005383369117306822,-0.15079408367048713,-0.053185430890141404,-0.006311177572022462,0.002182530059730057,-0.00017121745441440653,0.013991604660659936,0.00989335061995815,-0.02418701421376377,-0.004450113533503312,-0.010647918555750141,0.03816500291209699,0.8404124254910709,-8.615958438068778e-06,0.00037166285387359534,-1.0298540311342435,0.1879775929468183,0.0797700648310321,,,
2019,9,2019-09-01,2019-10-27,2688,"(2, 0, 4)","(1, 0, 0, 48)",-17315.747653057457,8683.873826528728,145692.14311749043,0.05097810232870564,1.4438350376908053,-0.49097998308189156,,,,,,,3.5801008579932474,0.031075207432203128,-0.001674320008231626,0.00035264032257110886,0.058393012884812946,-0.017661496627133642,-0.041232641289321914,0.004925630759800076,-0.0191389588125646,-0.03477354038274685,0.002410576232128699,-0.02321062531515503,-0.0024188178973028308,-0.021317637986764806,0.009183263689513336,0.5931931141659857,-0.0010214686908409955,0.0006488070042979681,-0.14226877989297124,0.3690758011964925,0.17811390095762714,,0.10938986123946964,0.13195632286156467
