year,month,train_start,train_end,train_obs,arima_order,seasonal_order,aic,loglik,mse_oob,mape_oob,coef_ar1,coef_ma1,coef_sar1,coef_sar2,coef_sma1,coef_sma2,coef_intercept,coef_ex_1,coef_ex_2,coef_ex_3,coef_ex_4,coef_ex_5,coef_ex_6,coef_ex_7,coef_ex_8,coef_ex_9,coef_ex_10,coef_ex_11
2017,1,2017-01-01,2017-02-26,2688,"(1, 0, 1)","(2, 0, 2, 48)",31274.793462987665,-15618.254302708225,101832.82709676372,0.03604681012464061,0.995785257423655,0.4942697475832736,0.9370058248909209,0.058997758157145676,-0.6824577346902899,-0.2365196575377021,-13981.182576477184,-2.8508739145354127,37.165278289600906,17.903315862827185,0.10714614525409161,20.319393271381426,2.0751402943232407,0.5550145375719779,0.28762746188096167,0.2817747639885811,15.820389694267927,-3.093027837584343
2017,3,2017-03-01,2017-04-26,2688,"(1, 0, 1)","(2, 0, 2, 48)",29736.654614217925,-14849.184878323354,654315.0289090934,0.0886491440773307,0.9881577859505386,0.31467267105027613,0.8472171184616931,0.13690768725727337,-0.5295162326281286,-0.21270720382976946,-8143.149222117223,-0.16979071840006554,26.73295062649774,-0.13890812161849908,-0.2911026133298833,-0.04521493207903804,2.603393041840274,0.043220015007705115,0.11553660436972833,0.3943134273983838,8.163688605471258,6.230508560348434
2017,6,2017-06-01,2017-07-27,2688,"(1, 0, 1)","(2, 0, 2, 48)",30196.68597778714,-15079.200560107962,76584.04219476118,0.02859546024318386,0.9756219432550111,0.3386549596790587,1.283092252501062,-0.28316793603667817,-1.1032088541004939,0.08921722941643674,38796.03587596721,0.6555689701149561,-92.29821361863054,-10.792702898769846,-0.2387914052362703,-9.095181660932838,-1.7956334984972724,-1.0693516729096153,0.2888658117311896,0.5595934301010603,12.937838654495076,-5.643981966834268
2017,9,2017-09-01,2017-10-27,2688,"(1, 0, 1)","(2, 0, 2, 48)",29838.043052832614,-14899.8790976307,20116.831691170955,0.016537246567785265,0.974444594327939,0.29508694294248805,0.7790429639597796,0.21041050275705125,-0.5091816428017393,-0.29498412548476144,-11311.96650358298,-2.023590011027906,39.49865097758311,-2.547431619535587,-0.2655446877494114,-1.6409255781395586,0.8881988785152704,-0.053696230537337186,0.09125404455705566,0.45393233621868595,12.15392501372189,2.3276104917940694
2018,1,2018-01-01,2018-02-26,2688,"(1, 0, 1)","(2, 0, 2, 48)",30873.98695156506,-15417.851046996922,95229.27657760274,0.029288718726406773,0.9899986966117997,0.4155065344324478,1.2902198029353356,-0.2905123675483018,-1.0839327600452826,0.05619623989595188,402.4022381082532,6.077256293206884,7.846683085332112,8.388881445009991,-0.24830863847617124,16.906614777683703,10.053491156108622,0.4208398407254769,0.28950755367815306,0.1558049197369076,10.145889163610235,11.947054434642212
2018,3,2018-03-01,2018-04-26,2688,"(1, 0, 1)","(2, 0, 2, 48)",30329.16720338776,-15145.441172908271,244749.10123516564,0.05504069406145149,0.9833759529219932,0.31382059402249823,0.8627690969571349,0.12399761659120469,-0.5039449569474878,-0.2762030385782288,1064.218222639053,-0.126994072517558,5.620331438763113,10.13789951813774,-0.3848638956759629,6.986603779316422,9.389784170141747,0.12361983395835852,0.37758047618737034,0.29149971064044733,6.42140668774309,3.42862863151937
2018,6,2018-06-01,2018-07-27,2688,"(1, 0, 1)","(2, 0, 2, 48)",30592.381372495413,-15277.048257462098,118936.20099117672,0.029743281044974406,0.9936784015099456,0.3365349966422695,0.8757010374579438,0.12356540112650495,-0.6266560246027661,-0.3011335513730581,32080.02599202929,-0.9249849440957121,-36.25227356833781,-10.00849743581648,-0.1793359113880797,-11.297328190060789,1.6445979054503734,-1.0028942061903976,0.33372706777882266,0.4279577988246185,26.991683018297152,-13.007247860672885
2018,9,2018-09-01,2018-10-27,2688,"(1, 0, 1)","(2, 0, 2, 48)",30289.265309264778,-15125.490225846781,221303.74695347188,0.05618564683252724,0.9771240835893754,0.33602797473931345,0.8696785741988814,0.12494347389829971,-0.5760805865565906,-0.26297526558946865,-7746.917619927721,0.1692980690771293,26.022581352698808,-5.376561487033257,-0.36992877380333766,0.4770831376748952,2.8315007330396185,-0.20214090470065216,-0.1430734685800666,0.3829974772664947,11.068518849606283,3.080625175227712
