year,month,exog,train_start,train_end,train_obs,arima_order,seasonal_order,aic,loglik,mse_oob,mape_oob,coef_ar1,coef_ar2,coef_ar3,coef_ar4,coef_ex_1,coef_ex_2,coef_ex_3,coef_ex_4,coef_ex_5,coef_ex_6,coef_ex_7,coef_ex_8,coef_ex_9,coef_ex_10,coef_ex_11,coef_ma1,coef_ma2
2017,1,True,2017-01-01,2017-01-02,48,"(4, 0, 0)","(0, 0, 0, 1)",510.7248630572813,-239.36243152864066,547791.1069976945,0.08358383847326499,1.0404808380756365,-0.12779018100638104,0.47271272927373853,-0.5983197075811535,-0.009358949635599655,6.512906654356975,9.538170931910345,-0.3287937343859135,6.871199445083117,42.57691475432871,1.4273806298918097,1.0185755416322948,0.4870983883911209,23.42600065598943,-20.3042038580938,,
2017,1,False,2017-01-01,2017-01-02,48,"(1, 2, 0)","(0, 0, 0, 1)",499.99162360021234,-247.99581180010617,43707938.201720014,0.7585424219888184,-0.43194410098555946,,,,,,,,,,,,,,,,
2017,3,True,2017-03-01,2017-03-02,48,"(0, 0, 1)","(0, 0, 0, 1)",519.8184344065081,-246.90921720325406,190542.7058553011,0.037484605662664004,,,,,0.10410102715941533,1.5524239846936776,10.063816278868742,0.9350787401209169,7.528716301169116,-4.063993151428094,-0.8070633451803326,-0.236462917652001,0.8936799507768562,-27.868598311765705,-54.84507171602672,0.6185209812031193,
2017,3,False,2017-03-01,2017-03-02,48,"(0, 2, 0)","(0, 0, 0, 1)",564.1940340817829,-281.09701704089144,43969533.74423117,0.643349209627112,,,,,,,,,,,,,,,,,
2017,6,True,2017-06-01,2017-06-02,48,"(2, 0, 2)","(0, 0, 0, 1)",498.6609684669607,-233.33048423348035,46100.95114854129,0.02197105190452792,1.4081955466206302,-0.9252213577264843,,,-0.001343650827754117,-1.2342311743507424,-22.953468095270058,0.4620336309352118,-10.23855542685231,13.488985176462034,-0.7504066565815957,0.21854111373179652,1.1988845049760806,0.4445643245019244,-3.306321601276358,-1.9462446659399895,0.9636999960722605
2017,6,False,2017-06-01,2017-06-02,48,"(3, 1, 0)","(0, 0, 0, 1)",618.459362900941,-305.2296814504705,996382.5839128481,0.0929583291330635,0.9931970461887746,0.037954193737887165,-0.296044000195526,,,,,,,,,,,,,,
2017,9,True,2017-09-01,2017-09-02,48,"(0, 0, 0)","(0, 0, 0, 1)",536.0426889246415,-256.02134446232077,61753.890272937926,0.026142780228558152,,,,,-1.156852391659413e-13,-0.507410676574953,-11.199693931556833,0.3150911758995853,-28.09928037696095,49.2289609800784,-0.2944608996360909,-0.5981655375988755,1.021876256135422,22.113535372849473,33.13697686733332,,
2017,9,False,2017-09-01,2017-09-02,48,"(3, 1, 0)","(0, 0, 0, 1)",610.597551451365,-301.2987757256825,1400457.8351378823,0.13666164314785492,0.9194989222636951,0.12976014847717593,-0.34358210204720757,,,,,,,,,,,,,,
2018,1,True,2018-01-01,2018-01-02,48,"(2, 0, 1)","(0, 0, 0, 1)",520.7517017520772,-245.3758508760386,614359.982989105,0.0764483486264201,1.5592157821226542,-0.7774020515533254,,,0.12107442721469397,5.627086983140786,20.11044876193388,-0.4196383346864678,49.34907078545287,14.46453887576918,1.4079878410622566,1.4062890799265793,0.36206878172063117,-27.986447446505586,56.86947402343945,-0.999968537714671,
2018,1,False,2018-01-01,2018-01-02,48,"(1, 2, 0)","(0, 0, 0, 1)",529.8621729114994,-262.9310864557497,51646776.146882445,0.726349240979404,-0.2810126062719363,,,,,,,,,,,,,,,,
2018,3,True,2018-03-01,2018-03-02,48,"(0, 0, 0)","(0, 0, 0, 1)",521.2838496825173,-248.64192484125866,349603.2050826798,0.057900053303438725,,,,,3.285993699364553e-11,-3.7308510414211864,-3.574482326292006,-0.2556418570620947,35.47316158669754,42.154639008222574,0.1508927312382674,-0.5478288768763928,1.0170778478336242,-26.451957676384435,-17.24825182726258,,
2018,3,False,2018-03-01,2018-03-02,48,"(0, 2, 0)","(0, 0, 0, 1)",566.7036030146489,-282.35180150732447,36696970.69677136,0.6150062979104747,,,,,,,,,,,,,,,,,
2018,6,True,2018-06-01,2018-06-02,48,"(0, 0, 1)","(0, 0, 0, 1)",549.5978845191408,-261.7989422595704,173433.47077954593,0.037199615164752335,,,,,0.036974161530609395,-3.9678539435424915,74.99458505351595,0.8519735961754292,37.15710347183879,-55.2741951188201,-1.5062662349510951,0.1469552481749581,1.2062386463492079,-20.643495547693576,68.81224886581434,0.5560083148723549,
2018,6,False,2018-06-01,2018-06-02,48,"(1, 1, 2)","(0, 0, 0, 1)",605.6959045799724,-298.8479522899862,874648.0053934967,0.09445752031406159,0.7218574676679145,,,,,,,,,,,,,,,0.11786406849979379,0.4786791330169611
2018,9,True,2018-09-01,2018-09-02,48,"(3, 0, 0)","(0, 0, 0, 1)",573.4022295293039,-271.70111476465195,250791.8697315137,0.05369682962067333,1.4813348503107195,-0.26024717487996085,-0.3244988869235899,,0.6696323019311488,9.943707712735069,4.4809413827032225,-1.44109199369692,-4.546499545512359,-8.71810368147816,-0.2531324848484573,-0.07263851583289949,0.46441387473939955,-131.4905236888634,-10.038353920642125,,
2018,9,False,2018-09-01,2018-09-02,48,"(1, 1, 0)","(0, 0, 0, 1)",581.0302724294022,-288.5151362147011,928836.1884976492,0.10052176716840873,0.8219633685340912,,,,,,,,,,,,,,,,
