year,month,train_start,train_end,train_obs,arima_order,seasonal_order,aic,loglik,mse_oob,mape_oob,coef_ma1,coef_ma2,coef_ma3,coef_ma4,coef_sma1,coef_ar1,coef_sar1,coef_sar2,coef_sar3,coef_ma5
2018,1,2018-01-01,2018-02-26,2689,"(0, 0, 4)","(0, 1, 1, 48)",-14144.16570203519,7078.082851017595,125734.936425942,0.04020675858568435,1.8887417155280413,2.163485802789186,1.5485059007253716,0.6137244484482686,-0.5754561931043165,,,,,
2018,3,2018-03-01,2018-04-26,2689,"(1, 0, 0)","(3, 1, 0, 48)",-16519.56511731408,8264.78255865704,338684.8353267345,0.06578334677926775,,,,,,0.9881248344730564,-0.4235471347574259,-0.387549638400795,-0.1575074956520913,
2018,6,2018-06-01,2018-07-27,2689,"(1, 0, 5)","(3, 1, 0, 48)",-17751.188454094707,8885.594227047353,155597.82955524907,0.035291081805032404,0.6023692331222746,0.6120332210953333,0.41959055947209717,0.2351911822846112,,0.924056259518689,-0.4788916330659373,-0.33660780126776846,-0.2098121130948572,0.06753732331674689
2018,9,2018-09-01,2018-10-27,2689,"(1, 0, 4)","(3, 1, 0, 48)",-17119.37165219464,8568.68582609732,510796.6420014269,0.09020951489025672,0.4784083559483098,0.3925795301988225,0.241991201484739,0.11652624021988991,,0.9549821086757686,-0.5493057027299307,-0.37372740631105084,-0.21147313786187183,
2019,1,2019-01-01,2019-02-26,2689,"(1, 0, 5)","(2, 1, 0, 48)",-17537.025263086005,8777.512631543002,320444.8803758314,0.05357004136086054,0.4473057152760234,0.5256979780275903,0.36987055337154207,0.21936528723855703,,0.9795363996035471,-0.5237686424002439,-0.35432910759600506,,0.12175988547268002
2019,3,2019-03-01,2019-04-26,2689,"(1, 0, 4)","(3, 1, 0, 48)",-17568.81671024571,8793.408355122854,66897.49739964964,0.031451737895271975,0.5023304658430947,0.43229093104981614,0.2531444577653657,0.1418562289589748,,0.961720874840857,-0.5494379093912858,-0.3448026364334257,-0.21144960557663228,
2019,6,2019-06-01,2019-07-27,2689,"(1, 0, 5)","(3, 1, 0, 48)",-17844.563039393157,8932.281519696578,708606.2847102375,0.08716312202355567,0.5889656161257179,0.6715090875387353,0.46141979850844017,0.23707895170742585,,0.9319908142407952,-0.49609115160674466,-0.31985291170036123,-0.17984259213181128,0.07908880987432255
2019,9,2019-09-01,2019-10-27,2689,"(1, 0, 4)","(2, 1, 1, 48)",-17059.32480080321,8538.662400401605,599647.4766994526,0.10016581187960812,0.42730035321578175,0.3589820849705308,0.2504785779809286,0.17844415662844404,-0.6041531118199354,0.958609041073066,-0.05324816085221938,-0.20763792475243312,,
