,eval_date,model aic,peak_actual,peak_predicted,time_of_peak_actual,time_of_peak_predicted,mse,r2,mae,mape
0,2020-01-01,-17498.431071912477,9.04709411921943,9.248312304394378,2020-01-01 17:00:00,2020-01-01 16:30:00,0.02260895120066546,-0.7510825781632169,0.12134495173488409,0.013658518282091435
1,2020-01-02,-17505.49764200784,9.116265928335324,9.186215687108248,2020-01-02 17:00:00,2020-01-02 17:00:00,0.003498692588878327,0.7614509825394161,0.0460676839002111,0.005148178582169558
2,2020-01-03,-17517.364444581188,9.292757796238545,9.206684961866108,2020-01-03 17:00:00,2020-01-03 17:00:00,0.005148293047975698,0.8381983914182105,0.05946221809663491,0.006512477056796642
3,2020-01-04,-17573.686668541486,9.420199271763225,9.241165830628482,2020-01-04 16:30:00,2020-01-04 17:00:00,0.022899481953057212,0.583477172473614,0.12110366310664378,0.013054677657685998
4,2020-01-05,-17533.09052696076,9.014557821156123,9.297590952171252,2020-01-05 17:00:00,2020-01-05 16:30:00,0.03961855484040807,-4.396204752195137,0.17487357692633856,0.019598408980466553
5,2020-01-06,-17530.169620958033,9.082110330894233,9.161613944629286,2020-01-06 17:00:00,2020-01-06 17:00:00,0.0072371973190898066,0.5586963303017212,0.0715035881700244,0.007981776891878664
6,2020-01-07,-17487.872220001787,9.25981411197822,9.194058093403967,2020-01-07 17:00:00,2020-01-07 16:30:00,0.0020347437439533164,0.9174882806300586,0.03515872069277307,0.0038759884317587675
7,2020-01-08,-17469.782436453454,9.181598246163643,9.081936875852946,2020-01-08 17:00:00,2020-01-08 17:00:00,0.01058752827513594,0.3328256404812896,0.09517947266068179,0.010535029788938935
8,2020-01-09,-17458.682382947583,9.124835859096358,9.16819818151032,2020-01-09 17:00:00,2020-01-09 17:00:00,0.0011056951422960487,0.9135861314557522,0.03026479329584375,0.0033680772078855006
9,2020-01-10,-17498.468563920338,9.386085350408507,9.224633915013602,2020-01-10 17:00:00,2020-01-10 17:00:00,0.009706002564691528,0.756069802614355,0.07433950799068341,0.008031082705718751
10,2020-01-11,-17531.01240187502,9.02448056294395,9.31285939190555,2020-01-11 00:00:00,2020-01-11 16:30:00,0.0632644516626162,-22.343948785086354,0.21849269298175897,0.0245587373265669
11,2020-01-12,-17520.107297561874,8.947882803155975,8.99035950086165,2020-01-12 18:00:00,2020-01-12 17:30:00,0.0017942133314029901,0.7599468255895107,0.03570924994408986,0.004039108740656191
12,2020-01-13,-17568.649377636088,9.06796657166775,9.046069210250716,2020-01-13 18:00:00,2020-01-13 17:30:00,0.0013271506284467896,0.9027858627235681,0.027191172971317384,0.0030570972283278527
13,2020-01-14,-17570.917319248932,9.149884173475744,9.033401206260223,2020-01-14 17:00:00,2020-01-14 17:30:00,0.0074990045177801895,0.5488120054084207,0.07287837348532693,0.008062863651127091
14,2020-01-15,-17586.463468394322,9.161732941110003,9.095156745660912,2020-01-15 17:00:00,2020-01-15 17:00:00,0.0029283054471610404,0.8352861872937234,0.04587140447841561,0.005059984878558985
15,2020-01-16,-17585.084990114185,9.139673242558434,9.149180293960445,2020-01-16 17:00:00,2020-01-16 17:00:00,0.0007422175050026476,0.9380794478879181,0.02316881783863726,0.002571917110198727
16,2020-01-17,-17545.312766849536,9.036242904462135,9.173320095238687,2020-01-17 11:00:00,2020-01-17 17:00:00,0.006937552656414189,0.2068683284570817,0.061775870716617574,0.006881945553798907
17,2020-01-18,-17539.385815945017,8.95489829380002,9.020546442320084,2020-01-18 19:30:00,2020-01-18 17:00:00,0.003605148463259813,0.41188501772668396,0.05108081891713723,0.0057495175829992045
18,2020-01-19,-17526.608883999725,8.990563646537591,8.970889066289754,2020-01-19 19:30:00,2020-01-19 18:00:00,0.0018556527780846804,0.7931105757564969,0.03627613398257953,0.004102551856313032
19,2020-01-20,-17548.730880001865,9.188938987348305,8.991128028892323,2020-01-20 16:00:00,2020-01-20 18:00:00,0.018665364464024902,0.19977164540231807,0.11673864359948183,0.012862725417511487
