year,month,train_start,train_end,train_obs,arima_order,seasonal_order,aic,loglik,mse_oob,mape_oob,coef_ar1,coef_ar2,coef_ar3,coef_ma1,coef_ma2,coef_sar1,coef_ex_1,coef_ex_2,coef_ex_3,coef_ex_4,coef_ex_5,coef_ex_6,coef_ex_7,coef_ex_8,coef_ex_9,coef_ex_10,coef_ex_11,coef_ex_12,coef_ex_13,coef_ex_14,coef_ex_15,coef_ex_16,coef_ex_17
2018,1,2018-01-01,2018-02-26,2688,"(3, 1, 2)","(1, 0, 0, 48)",-18103.070758034606,9075.535379017303,512406.87996910326,0.07902419308208956,1.5462410070321577,-0.30856639539663494,-0.2672538161705547,-1.1329606854687013,0.1796596184727362,0.30628025123953573,-0.10504494272064661,-0.003720572048783296,-0.0005299646470916571,0.25255346850269383,-0.015198733952021194,-0.009087236910265922,-0.04130390562875469,-0.016001902860540172,0.008726484781984565,0.002626121076725546,0.03982244247908084,-0.041665959826396405,-0.002557395314491945,0.0068123050350290554,0.5614206748972156,-0.0007297744818826594,0.0005868868349339665
2018,3,2018-03-01,2018-04-26,2688,"(3, 1, 2)","(1, 0, 0, 48)",-17784.975957584225,8916.487978792113,438868.4211609068,0.07618476851262078,1.3789209836766352,-0.43413438866380905,-0.0807305126474082,-1.0576921427800225,0.3637541728106674,0.4812058244951965,0.013553960646627767,-0.003545685694867192,0.00024780709312980845,-0.44666900694915307,0.024955817501516226,0.0008617993767271006,-0.004399450258551275,0.010139592709254202,0.008613431371930744,0.006826949520017893,-0.0018552686581846565,-0.009029093480777529,-0.03024780673695063,-0.006023530520977831,0.5212678512594394,-0.00022706251809629936,0.0007706604018845408
2018,6,2018-06-01,2018-07-27,2688,"(3, 1, 2)","(1, 0, 0, 48)",-18067.073005713697,9057.536502856849,114027.9219027075,0.031774842727784004,1.399576540351557,-0.2384020202897692,-0.21803983794203063,-1.0952471688943113,0.13618111155560458,0.16030223142394928,-0.11208953970164988,0.0027963110993399166,0.0017177700516993206,0.9860509686288538,-0.04296845801689107,0.017799997507714195,0.005888514063366582,0.004227463214940446,0.014519354833966743,-0.030338366079242604,0.0019206075649308915,0.0004245726686581348,-0.008083821017527037,0.015876043852332523,0.907511919689865,-4.500178671892099e-05,0.000206363638760363
2018,9,2018-09-01,2018-10-27,2688,"(3, 1, 2)","(1, 0, 0, 48)",-16612.627841020047,8330.313920510023,122084.51309620192,0.03952545072216607,1.3733346608909276,-0.4245205712074401,-0.07242705219661288,-1.2814417382754724,0.3056775465687433,0.28272143310649356,0.004229033623420685,-0.0026197512733212047,-0.0021746697874247415,-2.247932143729546,-0.05477978581948189,-0.011843539964647152,0.006257577539286243,0.016066935835610887,0.01894132703197046,-0.0073371869508020845,0.04232804948325007,-0.02150481233788368,-0.00282517337922114,-0.011188467277356616,0.6649707091454423,-0.0005559703941551005,0.00027882347234047417
2019,1,2019-01-01,2019-02-26,2688,"(3, 1, 2)","(1, 0, 0, 48)",-18105.085038948382,9076.542519474191,391774.82452927117,0.05775076455059236,1.5201077120235782,-0.2390959372540531,-0.3097313365321124,-1.0953922470128181,0.13856203736349815,0.2981887510176998,-0.016761395290030626,0.005092983434726039,-0.00042984690788395714,0.19595850688254077,-0.01684200797521227,-0.011244176678103594,0.009968386413038486,-0.025597585561744626,0.02027768873007242,0.012586223274353018,-0.030289122771117304,0.008230328177581351,-0.007628480907200265,-0.001882491753866432,0.5062508142347579,-0.0007033440758344115,0.00019829941961955713
2019,3,2019-03-01,2019-04-26,2688,"(3, 1, 2)","(1, 0, 0, 48)",-17850.231684115337,8949.115842057668,886747.5618463239,0.10922938691693478,1.3559350020820597,-0.16222946325514265,-0.2435064531652389,-0.9445758497753468,-0.005108372329034507,0.4654584047751643,-0.0017225255511013804,-0.0044761276638480025,-0.0012542353780902028,-0.30366134581939963,0.020089714276283945,-0.01456998209345593,0.021702351523648265,-0.0020431466603782196,0.011420472231334107,0.011718850528297178,-0.02212588814191013,-0.02132236306483339,0.013228601090461105,-0.002360840646673642,0.4910766338755372,-0.0005882474223477394,0.0004985354167436638
2019,6,2019-06-01,2019-07-27,2688,"(3, 1, 2)","(1, 0, 0, 48)",-18456.172015173906,9252.086007586953,127830.38653568126,0.03917520583809575,1.3770249695961954,-0.15074065843022094,-0.2882725772329749,-1.0298540311342435,0.0797700648310321,0.1879775929468183,-0.023319657042167527,-0.00204071524408739,0.0005383369117306822,-0.15079408367048713,-0.053185430890141404,-0.006311177572022462,0.002182530059730057,-0.00017121745441440653,0.013991604660659936,0.00989335061995815,-0.02418701421376377,-0.004450113533503312,-0.010647918555750141,0.03816500291209699,0.8404124254910709,-8.615958438068778e-06,0.00037166285387359534
2019,9,2019-09-01,2019-10-27,2688,"(3, 1, 2)","(1, 0, 0, 48)",-17256.753881835233,8652.376940917617,53953.527291070066,0.031945692512310976,1.3795092833539744,-0.229714500329666,-0.2093806595891785,-1.0566495187152591,0.10101575635938603,0.34612694075968237,0.017707409083263154,-0.0008886783495505199,4.1073556387648225e-05,0.14441399125706667,-0.014780242159803496,-0.042957011509486616,0.0008892925771923477,-0.02399373638851511,-0.028741858703943628,-0.006161822543713519,-0.0298874295497984,-0.005415599529280891,-0.01894058418758886,0.004473586439659087,0.6007814893852006,-0.001238223297364553,0.00045978629337532187
