year,month,train_start,train_end,train_obs,arima_order,seasonal_order,aic,loglik,mse_oob,mape_oob,coef_ar1,coef_ma1,coef_sar1,coef_sma1,coef_intercept,coef_ex_1,coef_ex_2,coef_ex_3,coef_ex_4,coef_ex_5,coef_ex_6,coef_ex_7,coef_ex_8,coef_ex_9,coef_ex_10,coef_ex_11
2017,1,2017-01-01,2017-02-26,2688,"(1, 0, 1)","(1, 0, 1, 48)",31343.858636803776,-15654.814711660314,205573.63885428943,0.0505161556260395,0.9939458942520052,0.5066878687332641,0.9959607654195453,-0.9133544028282716,-13981.113928448705,-1.5713304676182815,43.75860174101899,16.73622471349796,-0.026472320184325326,19.43211522477909,4.620991701851262,0.5313515927852492,0.27371997463425624,0.28496944158185183,11.16691146517985,1.795509515829326
2017,3,2017-03-01,2017-04-26,2688,"(1, 0, 1)","(1, 0, 1, 48)",29753.862879929333,-14859.816833223093,409558.940159818,0.0684071418689397,0.9848949133489684,0.3206151295612142,0.9781208267941541,-0.73157885280923,-8143.135497488798,-0.16709392534393253,33.57328110550387,0.25411875206742707,-0.2751870862433634,0.4625619664472733,2.1725944895451654,0.03712657981275669,0.11406624688970596,0.4221166098087661,10.104260147830196,5.543060596336228
2017,6,2017-06-01,2017-07-27,2688,"(1, 0, 1)","(1, 0, 1, 48)",30277.529386114595,-15121.650086315723,78927.32875652313,0.030450232887270955,0.9783341379443328,0.3614548324500651,0.9988087300023446,-0.9377062244515507,38795.99167111378,0.9386873231886739,-90.15793052735728,-9.933339926312556,-0.2210206243155426,-8.895768921869326,-1.2723023355679803,-1.0981489763610384,0.3000951391180872,0.5620363458186893,16.465057453636135,-8.389731933766253
2017,9,2017-09-01,2017-10-27,2688,"(1, 0, 1)","(1, 0, 1, 48)",29870.80877805877,-14918.289782287811,21559.52729831681,0.01696336665148136,0.9756930631438343,0.3076693545813417,0.9878851764165598,-0.8154804923770914,-11311.946480187908,-1.5617351890967086,39.25670240313144,-2.3575238366341864,-0.2671166602917765,-1.6052014774128907,0.6243648812483329,-0.06530287698952719,0.09176452944362987,0.46742339081590534,11.920567037836797,2.2042079176222646
2018,1,2018-01-01,2018-02-26,2688,"(1, 0, 1)","(1, 0, 1, 48)",31000.229843883102,-15483.000315199977,312671.5472731912,0.06286475634507994,0.990457580488473,0.4480288222363288,0.9986840585904379,-0.9338198343090209,402.4266370339396,15.08270229878122,13.747035592458527,7.444196917344852,-0.29411026188652656,16.719077237433186,12.426747690945085,0.4044979364881048,0.2974679934127559,0.1379343168186061,3.8452311363587803,9.911450082076241
2018,3,2018-03-01,2018-04-26,2688,"(1, 0, 1)","(1, 0, 1, 48)",30392.319799233588,-15179.04529287522,166919.48326693545,0.04498149825752363,0.9829424327043552,0.3299995994629762,0.9708072923555561,-0.7029028853686267,1064.2306406236055,-0.40243905181895556,8.296485702841483,10.934448102275674,-0.38591131194896633,7.877120963473041,8.27992152913938,0.17163328589358784,0.4378710450715,0.3164906028353679,7.579888339027564,3.473579695079315
2018,6,2018-06-01,2018-07-27,2688,"(1, 0, 1)","(1, 0, 1, 48)",30673.491626792984,-15319.631206654918,120488.34955419211,0.029490452735487754,0.9890526848282546,0.3491724822769825,0.9993763202552093,-0.944648841461086,32080.057981496673,-1.0746419081367264,-49.69024386109362,-10.168838414009741,-0.14327678294421275,-12.088784568115491,0.44631746004367834,-1.2076950677233889,0.3291218188474231,0.4677067439300185,20.14798701194737,-8.489782455225841
2018,9,2018-09-01,2018-10-27,2688,"(1, 0, 1)","(1, 0, 1, 48)",30340.549670295524,-15153.160228406188,220211.88353242507,0.056525240789741554,0.9759706846702888,0.34737427134971055,0.9887516942651893,-0.8130583775018081,-7746.880553244804,0.15596766516632954,27.3206681616729,-5.267695147029912,-0.4040355684423389,0.6702772481536377,3.168145402100457,-0.21068867200587427,-0.09027269700064353,0.39277476286112034,11.855506910424756,4.394895805444071
