year,month,train_start,train_end,train_obs,arima_order,seasonal_order,aic,loglik,mse_oob,mape_oob,coef_ar1,coef_ma1,coef_ma2,coef_ma3,coef_ma4,coef_ma5,coef_sar1,coef_sar2,coef_sar3
2017,1,2017-01-01,2017-02-26,2688,"(1, 0, 5)","(3, 1, 0, 48)",-17780.97213959202,8900.48606979601,364091.5856066877,0.06805267748024511,0.981458282487599,0.5874532715977345,0.6032971673604385,0.4673790204968206,0.25006110750706784,0.1531145924889461,-0.5828029835491592,-0.37995825217484436,-0.22989782274356518
2017,3,2017-03-01,2017-04-26,2688,"(1, 0, 5)","(3, 1, 0, 48)",-17844.7198656432,8932.3599328216,800718.9736606833,0.09649132036671526,0.9672895539040535,0.4710660822891491,0.46490369110179286,0.3227142525108419,0.16822251251934245,0.0605234173457928,-0.5112934758212477,-0.3524767820817525,-0.20059668918615986
2017,6,2017-06-01,2017-07-27,2688,"(1, 0, 5)","(3, 1, 0, 48)",-17756.087924216386,8888.043962108193,191136.6313710518,0.04539951391478353,0.9236353717420068,0.6534237803650388,0.6420143247801339,0.4863875605800336,0.21051048017377003,0.09493999677572022,-0.4922262996264463,-0.3749822809662619,-0.21366405931962712
2017,9,2017-09-01,2017-10-27,2688,"(1, 0, 5)","(3, 1, 0, 48)",-17458.86477204629,8739.432386023145,34952.373525043455,0.01893045254981911,0.949696492346528,0.441074472664445,0.48455848035319793,0.30344384928977,0.09743240068039137,0.05523171409397105,-0.5268737654629574,-0.3838657048805533,-0.1714743898596219
2018,1,2018-01-01,2018-02-26,2688,"(1, 0, 5)","(3, 1, 0, 48)",-17712.457713154683,8866.228856577342,199893.80269099367,0.03666197313212052,0.9736303431404426,0.48767369546186073,0.5065844320738256,0.3903085542227628,0.2256001773443991,0.06565869856861727,-0.5912362795066414,-0.4030297676629468,-0.23644335108510744
2018,3,2018-03-01,2018-04-26,2688,"(1, 0, 5)","(3, 1, 0, 48)",-17479.583190501617,8749.791595250808,266830.7285454665,0.05683040154236566,0.9586405612725971,0.4295988598667442,0.4551318039693454,0.3208576881233209,0.1262342097839977,0.07663010968523626,-0.5544323292545318,-0.41194617859549876,-0.20501907685607476
2018,6,2018-06-01,2018-07-27,2688,"(1, 0, 5)","(3, 1, 0, 48)",-17743.58510322152,8881.79255161076,39023.991017588116,0.016976587810945878,0.924032962642226,0.6023780071144336,0.6120004682089725,0.41957184071826154,0.23521239730860408,0.06749931386140665,-0.47890817915752854,-0.33668224987927464,-0.20988003722536147
2018,9,2018-09-01,2018-10-27,2688,"(1, 0, 5)","(3, 1, 0, 48)",-17111.87300558618,8565.93650279309,468818.7090038699,0.08621408443872736,0.9518438009748553,0.4843094401607583,0.4048182338475119,0.26058271929372884,0.13609442565357835,0.028842785666654415,-0.5494645341422588,-0.3730313076077174,-0.21064601350398957
