,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
0,2020-01-01,29929.691792162495,8492.82,10619.411027622891,11974.15077077223,9264.671284473552,2020-01-01 04:30:00,2020-01-01 04:00:00,7318.64,8792.62324864319,10071.433422340288,7513.813074946094,2020-01-01 00:00:00,2020-01-01 12:00:00,1830134.3476454243,-1.7822322014574783,1061.7202102278932,0.14562011848059844
1,2020-01-02,29928.410344699605,9101.15,9753.4274432962,11150.374272001089,8356.48061459131,2020-01-02 04:30:00,2020-01-02 04:30:00,7680.36,7959.724465873246,9268.293088800012,6897.23339652359,2020-01-02 12:00:00,2020-01-02 12:00:00,201305.94901094455,0.7522869083643378,355.0113919816719,0.04560355162928237
2,2020-01-03,29925.18913346002,10858.09,9952.408866023216,11350.639449791031,8554.1782822554,2020-01-03 04:30:00,2020-01-03 04:30:00,8779.78,8334.476862182484,9644.907907201632,7187.179729901083,2020-01-03 12:00:00,2020-01-03 12:00:00,363092.8354740091,0.8342290410057507,480.5414993720892,0.05152858836432842
3,2020-01-04,29861.948837593238,12334.04,10312.429784370059,11685.43037828821,8939.429190451907,2020-01-04 04:00:00,2020-01-04 04:30:00,10757.67,8636.583137213094,9923.634416775147,7605.127984319416,2020-01-04 12:00:00,2020-01-04 12:00:00,2369164.1107565737,0.4712678608992489,1206.4237850291322,0.11190840126862339
4,2020-01-05,30014.28020826606,8220.91,10544.882822653553,11967.968455833285,9121.797189473822,2020-01-05 04:30:00,2020-01-05 04:30:00,7957.69,9015.450469414078,10348.68930420768,7859.943910971412,2020-01-05 00:00:00,2020-01-05 12:00:00,2083518.784656552,-4.438744092739458,1219.826522811754,0.1615733624495377
5,2020-01-06,30015.344618926134,8795.51,9458.453920894775,10913.563702715936,8003.344139073616,2020-01-06 04:30:00,2020-01-06 04:30:00,8236.51,7993.775323753011,9352.943651139456,6634.606996366567,2020-01-06 11:30:00,2020-01-06 12:00:00,402119.8398900437,0.527120019751393,537.4547960482282,0.0691786557286867
6,2020-01-07,30043.358223045452,10506.18,9988.255100501921,11447.697348541224,8528.812852462619,2020-01-07 04:30:00,2020-01-07 04:30:00,8469.66,8799.692991599515,10165.280806932744,7434.105176266286,2020-01-07 12:00:00,2020-01-07 12:00:00,54843.266823276645,0.9659964753809506,187.5892713361012,0.022083640367032042
7,2020-01-08,30054.759665861024,9715.67,10145.80622889809,11592.374347216855,8699.238110579323,2020-01-08 04:30:00,2020-01-08 04:30:00,8790.26,8738.810043658654,10093.679472724982,7383.940614592327,2020-01-08 12:00:00,2020-01-08 12:00:00,223352.53616024845,0.7780520231577475,399.5719406849034,0.0500224158034158
8,2020-01-09,30078.079059952,9179.49,9345.515187180841,10798.563057199592,7892.467317162091,2020-01-09 04:30:00,2020-01-09 04:30:00,8372.84,8354.214657332985,9715.043453467055,7327.754545471386,2020-01-09 12:00:00,2020-01-09 12:00:00,25963.292078677918,0.9654926451071558,143.61465672852563,0.01818047416706239
9,2020-01-10,30060.20188344178,11920.34,9539.091961628497,10986.529943148425,8091.653980108569,2020-01-10 04:30:00,2020-01-10 04:30:00,9454.39,8552.782866502628,9908.384720448374,7325.249854464301,2020-01-10 12:00:00,2020-01-10 12:00:00,1786554.0598111495,0.4308609020663804,975.0216861684534,0.09232943019402566
10,2020-01-11,30056.1615670371,7716.93,10879.328606646155,12354.985919787756,9403.671293504554,2020-01-11 05:00:00,2020-01-11 04:30:00,8302.9,9262.28288576582,10640.30835726101,8129.081408528906,2020-01-11 00:00:00,2020-01-11 12:00:00,3810241.3429174586,-25.730080142404436,1679.5919619177093,0.22976831230700143
11,2020-01-12,30075.362139808876,7690.59,8923.166643441173,10443.633288196737,7402.699998685608,2020-01-12 05:30:00,2020-01-12 04:30:00,7040.43,7802.244711493533,9216.73166282219,6542.1020877769815,2020-01-12 09:30:00,2020-01-12 12:00:00,688884.0406383565,-1.0837190897751414,702.3809183547568,0.09980557191800905
12,2020-01-13,30023.96857802934,8671.97,8702.353862092863,10216.666112070014,7194.973623763591,2020-01-13 05:30:00,2020-01-13 05:00:00,7640.2,7575.736138258876,8977.74707712423,6452.453570594709,2020-01-13 11:00:00,2020-01-13 12:00:00,68567.34380626546,0.9006357440372071,191.0086581308667,0.02687712203122127
13,2020-01-14,30020.323027755232,9412.35,9067.151847245237,10574.478616532802,7559.825077957672,2020-01-14 04:30:00,2020-01-14 04:30:00,8267.39,7914.614446700104,9317.046905766832,7035.74519691217,2020-01-14 12:00:00,2020-01-14 12:00:00,77991.93067441678,0.9193553760434409,224.14342881313894,0.027304646415811706
14,2020-01-15,29989.57471319583,9524.55,8430.102786705018,9925.409108896301,6934.7964645137345,2020-01-15 04:30:00,2020-01-15 04:30:00,8450.73,7665.423638737067,9026.253589251895,7107.750007181731,2020-01-15 12:00:00,2020-01-15 11:00:00,690852.269437015,0.3619183850506721,717.51251574344,0.08300615317121589
15,2020-01-16,29994.339154790203,9316.72,9090.29775718144,10591.942328708425,7588.653185654457,2020-01-16 04:30:00,2020-01-16 04:30:00,8814.88,8235.20333786192,9631.130762908395,7554.728222124531,2020-01-16 11:30:00,2020-01-16 12:00:00,94081.75961829252,0.8716133136527134,253.56178146738526,0.030481943663851985
16,2020-01-17,30034.55455558308,8264.99,9239.301283221357,10737.997538347969,7740.605028094746,2020-01-17 04:30:00,2020-01-17 04:30:00,8401.15,8363.34801829917,9755.667604041613,7134.815060388256,2020-01-17 11:00:00,2020-01-17 12:00:00,220893.72747819146,0.529734970141318,337.4403741540388,0.04232901297444908
17,2020-01-18,30028.055593737223,7744.74,8971.219450543456,10500.378374198248,7442.060526888665,2020-01-18 07:00:00,2020-01-18 04:30:00,7708.16,8296.800609339614,9706.582303745989,6989.074305389546,2020-01-18 09:30:00,2020-01-18 11:00:00,700099.6092979807,-1.4229847560381188,708.0190875077456,0.09710034015697933
18,2020-01-19,30030.638052143524,8025.98,8364.05497418742,9907.653322123815,6820.456626251025,2020-01-19 07:00:00,2020-01-19 05:00:00,7185.49,7782.829851007247,9160.183563864619,6589.855106639226,2020-01-19 11:00:00,2020-01-19 09:30:00,220552.4469296059,0.4860616495129376,405.9081435285962,0.05807159064772721
19,2020-01-20,30007.338271933182,9787.26,8183.739239539094,9722.088860957605,6645.389618120583,2020-01-20 03:30:00,2020-01-20 05:00:00,8905.03,7723.0558882658715,9107.440295339427,6691.997453471756,2020-01-20 12:00:00,2020-01-20 11:00:00,1033701.608293171,0.2649209326140518,852.1025849125145,0.0974647031749145
20,2020-01-21,30125.317778204397,9925.09,8701.505222132715,10237.140223144957,7165.870221120473,2020-01-21 04:30:00,2020-01-21 04:30:00,8209.52,8273.478872793403,9661.705142807916,7305.952800738378,2020-01-21 12:00:00,2020-01-21 11:00:00,345099.23424966086,0.7149883430640172,455.0175107031434,0.0525405019728959
21,2020-01-22,30051.287348474394,11679.1,9043.87831627319,10590.310004960918,7510.65738687767,2020-01-22 04:30:00,2020-01-22 05:30:00,9196.29,8135.071524985706,9550.221005534124,7485.791761811792,2020-01-22 12:00:00,2020-01-22 12:00:00,1780015.4951698668,0.3255643260610358,1012.693696436043,0.10064129398997516
22,2020-01-23,30069.784846839382,13330.14,10239.451552173381,11797.210330518372,8681.69277382839,2020-01-23 04:30:00,2020-01-23 04:30:00,11712.42,8779.063008550569,10216.884364216643,7752.684663589714,2020-01-23 12:00:00,2020-01-23 12:00:00,4489259.998770743,0.1504948356922171,1725.625338288835,0.14897296683288155
23,2020-01-24,30145.48961924548,10052.6,12099.9626826035,13749.39554131656,10450.52982389044,2020-01-24 04:30:00,2020-01-24 04:30:00,9493.3,10662.546878041781,12171.70806380816,9153.385692275402,2020-01-24 09:30:00,2020-01-24 12:00:00,1704999.3730511134,-2.800411179979589,1009.1104723374237,0.10907045847812713
24,2020-01-25,30196.159639220972,9861.13,11022.890367878812,12683.168553036541,9362.612182721083,2020-01-25 05:30:00,2020-01-25 04:30:00,8455.7,9329.323200737119,10848.83539641487,7809.811005059368,2020-01-25 12:00:00,2020-01-25 12:00:00,536593.2678138971,0.49806126492626734,618.9594515577731,0.07198502940352257
25,2020-01-26,30126.320700340893,10840.67,11023.091857753994,12660.220747010324,9385.962968497664,2020-01-26 05:30:00,2020-01-26 04:30:00,9536.49,9370.259756584846,10868.325473941346,7872.194039228346,2020-01-26 12:00:00,2020-01-26 12:00:00,68231.26764039275,0.9679761145842614,210.60886128490878,0.02578258885295188
26,2020-01-27,30146.321402815727,11056.05,10814.148782793553,12431.807809453267,9196.489756133838,2020-01-27 05:30:00,2020-01-27 04:30:00,8791.17,9474.296148617601,10957.679189882452,7990.913107352751,2020-01-27 12:00:00,2020-01-27 12:00:00,170695.7867495507,0.9138600918552382,319.25619252740216,0.0377641334707674
27,2020-01-28,30135.95377489187,12349.85,10346.181387410254,11981.146741245118,8719.918538898715,2020-01-28 04:00:00,2020-01-28 05:30:00,10699.19,8805.114527623358,10287.486488151584,7745.970070659311,2020-01-28 12:00:00,2020-01-28 12:00:00,1949949.9065013947,0.4004963826912008,1130.07592081687,0.10669557525299671
28,2020-01-29,30424.588302611646,10778.14,11281.89499956238,12941.313620120553,9622.476379004209,2020-01-29 04:30:00,2020-01-29 05:30:00,9477.21,9775.68350543093,11279.075365519104,8272.291645342757,2020-01-29 12:00:00,2020-01-29 12:00:00,211800.25806086036,0.8388797958077132,392.76228557470307,0.042759062659340485
29,2020-01-30,30474.602816361945,11979.43,10988.950199538303,12642.504683046529,9335.395716030078,2020-01-30 04:30:00,2020-01-30 04:30:00,9472.85,9379.280819451576,10895.962531019506,7862.599107883647,2020-01-30 12:00:00,2020-01-30 12:00:00,306559.3176099499,0.8904515627388196,452.8959312480653,0.045859658841101346
30,2020-01-31,30491.947411315883,13143.76,11704.102562839895,13349.099873451885,10059.105252227904,2020-01-31 03:00:00,2020-01-31 04:30:00,11311.9,9794.784165835013,11305.296036212605,8284.272295457422,2020-01-31 12:00:00,2020-01-31 12:00:00,1277833.095184594,0.6958704842757646,941.8183993140459,0.08315530837251806
31,2020-02-01,30580.48725965744,13634.63,12461.447775799192,14120.34624048505,10811.347145116433,2020-02-01 05:00:00,2020-02-01 04:30:00,12047.17,10835.409416148037,12356.688188826221,9314.130643469853,2020-02-01 12:00:00,2020-02-01 12:00:00,1238865.5637129117,0.7572221316598915,967.9424876955303,0.08778488292888618
32,2020-02-02,30653.48436918196,10938.26,12961.157236813788,14664.623791275813,11257.690682351762,2020-02-02 02:30:00,2020-02-02 04:30:00,10478.02,11321.746861057665,12885.119674760808,9758.374047354522,2020-02-02 12:00:00,2020-02-02 12:00:00,2241722.3738582437,-0.9220476299632479,1243.6479492837616,0.13205406965845742
33,2020-02-03,30686.70014403654,10741.33,11657.153530716874,13374.857191850584,9939.449869583164,2020-02-03 04:00:00,2020-02-03 04:30:00,9250.51,10149.48486922997,11727.874974586213,8571.094763873725,2020-02-03 08:30:00,2020-02-03 12:00:00,1085054.8328414743,0.28391887496030266,912.6733867397362,0.1038819720492417
34,2020-02-04,30736.67219261057,8166.43,11539.306575343593,13281.282106699278,9797.331043987908,2020-02-04 05:30:00,2020-02-04 04:30:00,7916.85,10013.426511725953,11614.768671716009,8412.084351735897,2020-02-04 07:30:00,2020-02-04 12:00:00,4208802.069283924,-11.437437562046904,1617.658376470765,0.2085865256873022
35,2020-02-05,30712.85634540692,8698.81,10059.504022180703,11845.131413258536,8273.87663110287,2020-02-05 04:30:00,2020-02-05 04:30:00,7888.7,9001.45863961605,10634.046874295957,7368.870404936144,2020-02-05 12:00:00,2020-02-05 12:00:00,705301.8603971237,-0.12443501792498579,678.5915105271889,0.0837639348997069
36,2020-02-06,30720.734109602778,8592.13,9233.447641895124,11036.429424794524,7430.465858995724,2020-02-06 05:00:00,2020-02-06 04:30:00,8540.97,8332.877540487727,9979.536677533635,6910.694698586952,2020-02-06 09:30:00,2020-02-06 12:00:00,126864.55572081833,0.8024395157920983,282.1365998821649,0.03457929058054849
37,2020-02-07,30731.711875845762,8201.16,8981.002059967697,10781.259583276817,7180.744536658579,2020-02-07 00:00:00,2020-02-07 04:30:00,8552.26,8357.428133064352,9891.423241883625,6973.34129141443,2020-02-07 08:30:00,2020-02-07 08:30:00,133913.9182864383,0.7543197991336454,268.42811895804994,0.03368555191634565
38,2020-02-08,30741.15471901328,7873.51,8388.504933435732,10188.798275004676,6588.211591866789,2020-02-08 05:30:00,2020-02-08 04:30:00,7712.86,8215.881104731894,9750.825737512067,6890.230921175258,2020-02-08 09:30:00,2020-02-08 08:30:00,372471.8373938136,-0.027726283678572994,542.7860881191098,0.07612005533567918
39,2020-02-09,30761.296837358805,7920.61,7999.292192921277,9829.050041332655,6171.661338868724,2020-02-09 05:30:00,2020-02-09 05:30:00,7713.81,7697.294380071539,9285.685750740917,6418.239588267299,2020-02-09 09:30:00,2020-02-09 09:30:00,66663.30173280131,0.8659673712300121,194.09124287313463,0.029194425580201588
40,2020-02-10,30753.81931095783,9346.36,7917.446906374306,9715.924332894507,6118.969479854106,2020-02-10 04:30:00,2020-02-10 05:30:00,8325.51,7800.031455294732,9347.866284795127,6375.515078839547,2020-02-10 10:00:00,2020-02-10 09:30:00,641168.3916067479,0.43629681101949014,699.6462619273947,0.08479448984990705
41,2020-02-11,30767.48910390592,10020.15,8614.891722802135,10400.11342696301,6829.670018641259,2020-02-11 04:30:00,2020-02-11 04:30:00,8605.99,8357.174699445539,9878.757134975918,7077.375270371464,2020-02-11 12:00:00,2020-02-11 09:30:00,561607.992132634,0.5565870954079456,562.9534349087502,0.062070011271119156
42,2020-02-12,30787.965017774277,9397.17,9145.650198319074,10934.885429682701,7356.414966955446,2020-02-12 04:30:00,2020-02-12 04:30:00,8879.56,8460.158566208007,10042.75402541212,7401.970561911073,2020-02-12 11:00:00,2020-02-12 09:30:00,86515.30268840319,0.8986791641513843,259.0461309045683,0.030476450224581328
43,2020-02-13,30774.24205247413,9502.26,9326.065531564103,11068.491616538375,7583.639446589831,2020-02-13 04:30:00,2020-02-13 04:30:00,9178.99,8619.358936890274,10209.112859134004,7257.627285388884,2020-02-13 11:30:00,2020-02-13 10:00:00,132867.19609905142,0.8693563155377554,307.3670270872529,0.03503562894056796
44,2020-02-14,30733.816791562447,9197.97,9689.77041208436,11417.594488743915,7961.946335424804,2020-02-14 04:30:00,2020-02-14 04:30:00,8526.99,8932.706748719966,10513.125908890615,7400.493501395954,2020-02-14 09:00:00,2020-02-14 12:00:00,175172.3476924204,0.7139997323781246,319.7031956971786,0.03770266004535947
