,eval_date,aic,peak_actual,peak_predicted,time_of_peak_actual,time_of_peak_predicted,mse,r2,mae,mape
0,2020-02-27,-17085.127029677496,9.107760431378429,9.180309614620322,2020-02-27 18:00:00,2020-02-27 17:00:00,0.003405226213894863,0.6540182480849397,0.043096151286416716,0.0047873803900617415
1,2020-02-28,-17057.868614552615,9.054919719408144,9.13388298192855,2020-02-28 17:00:00,2020-02-28 17:00:00,0.0040352806390184515,0.45341583467703017,0.05167973035780634,0.005764996827221242
2,2020-02-29,-17050.532525004266,9.027714768964861,9.090360381582915,2020-02-29 18:30:00,2020-02-29 17:00:00,0.0056694483232046485,0.2671255166319372,0.062472333423010694,0.007032209346461128
3,2020-03-01,-17103.047159379646,9.188327864692916,9.047788930729503,2020-03-01 18:00:00,2020-03-01 18:00:00,0.005400704531864666,0.7648904883828815,0.05981925239760921,0.006660288310213245
4,2020-03-02,-17110.05394365231,9.33653592299001,9.137905634375716,2020-03-02 15:30:00,2020-03-02 18:00:00,0.02468614447668278,0.27148712644651785,0.12309043075672499,0.013443490151833678
5,2020-03-03,-17122.100807220755,9.081065052267592,9.215942125196834,2020-03-03 17:00:00,2020-03-03 17:00:00,0.005520338597604014,0.4940815285135103,0.06098877402754096,0.006755234550944331
6,2020-03-04,-17106.487100266568,9.085710953232734,9.185127494104634,2020-03-04 17:00:00,2020-03-04 17:00:00,0.0027147279242459195,0.8013940539115348,0.04125187550144449,0.004561282592683232
7,2020-03-05,-17099.748497525507,9.107531043715044,9.120934077682035,2020-03-05 10:00:00,2020-03-05 17:00:00,0.00030708165439277674,0.9785040569432014,0.013441530873826787,0.0014858970286462192
8,2020-03-06,-17095.003625806778,9.068896616145274,9.073243999691236,2020-03-06 17:00:00,2020-03-06 17:00:00,0.00016081612835474156,0.9858140110533977,0.010220086895275907,0.0011360934696010155
9,2020-03-07,-17113.862483327408,8.946511535546561,9.042489910434902,2020-03-07 19:00:00,2020-03-07 17:00:00,0.012004611814171529,-1.569770320106683,0.09477120422117558,0.010696895879633078
10,2020-03-08,-17091.03615480035,8.94803880554313,9.017487302378079,2020-03-08 19:30:00,2020-03-08 18:00:00,0.007400258535001596,-0.09533650412290395,0.07303981908243633,0.008281474122835315
11,2020-03-09,-17089.667518001304,9.014559037417785,8.986217831361147,2020-03-09 18:00:00,2020-03-09 17:00:00,0.001917254232543489,0.8194055886911171,0.03622543924880517,0.004074101552901058
12,2020-03-10,-17076.225519967258,9.03523312932516,8.969438631071442,2020-03-10 19:00:00,2020-03-10 19:00:00,0.0017243172135643428,0.8044247477493993,0.03351807615533431,0.0037449591406442193
13,2020-03-11,-17052.80460566577,9.049012497596452,9.002303277331741,2020-03-11 19:00:00,2020-03-11 19:00:00,0.0009110703424632903,0.8935941089931259,0.025647506367107404,0.0028663873486702144
