year,month,exog,train_start,train_end,train_obs,arima_order,seasonal_order,aic,loglik,mse_oob,mape_oob,coef_ma1,coef_ma2,coef_ma3,coef_ma4,coef_ma5,coef_sar1,coef_sar2,coef_sar3,coef_ex_1,coef_ex_2,coef_ex_3,coef_ex_4,coef_ex_5,coef_ex_6,coef_ex_7,coef_ex_8,coef_ex_9,coef_ex_10,coef_ex_11,coef_ar1,coef_ar2,coef_intercept,coef_sma1,coef_drift,coef_ar3,coef_ar4,coef_sma2,coef_sma3
2017,1,True,2017-01-01,2017-02-26,2688,"(0, 0, 5)","(3, 0, 0, 48)",33621.48686068908,-16790.74343034454,162357.46459688083,0.05056713447204724,1.8507460770598805,2.1920470499647284,1.9628062741440175,1.2921394015197532,0.5020441976362713,0.4083714354653845,0.03620784050744686,0.044851722397208714,-5.619900728946942,7.57149517214552,43.22545267387626,0.48307521661295183,41.7488073997465,9.011992393765436,0.6452770255677663,0.7750931965424597,0.36608837048585313,15.570114784866844,-2.6554180945520227,,,,,,,,,
2017,1,False,2017-01-01,2017-02-26,2688,"(1, 0, 5)","(2, 1, 0, 48)",30403.17600585903,-15192.588002929515,522207.0548327801,0.08184699716137368,0.6349185129409102,0.6431298625742496,0.5071668491079582,0.30709304481590866,0.17065486003100966,-0.5261857991788461,-0.2618548080583393,,,,,,,,,,,,,0.9823104339117952,,,,,,,,
2017,3,True,2017-03-01,2017-04-26,2688,"(2, 0, 4)","(1, 0, 0, 48)",29837.462635597403,-14898.731317798702,432932.0486594374,0.07411549565656926,-0.31400079614494597,0.1186005123535542,0.022680379782230774,0.05201880394606057,,0.4762517894234588,,,0.6297900398468812,31.290193051397637,-1.4717874448736836,-0.0072845403405494835,-0.5935868614990216,-0.07159538793252729,-0.05592162081318719,0.1290430379019161,0.5670415155862221,6.92315245441089,3.896612086084177,1.6445780256347071,-0.665195116081654,-8143.129468054297,,,,,,
2017,3,False,2017-03-01,2017-04-26,2688,"(0, 0, 2)","(0, 1, 1, 48)",35351.48691779915,-17670.743458899575,622992.111846644,0.08903525276221291,1.4720442481912615,0.8320285058002798,,,,,,,,,,,,,,,,,,,,,-0.2872297317277814,-0.47885434958149387,,,,
2017,6,True,2017-06-01,2017-07-27,2688,"(1, 0, 5)","(2, 0, 0, 48)",30148.0166123104,-15054.0083061552,73404.21818683176,0.024874883136724268,0.399321703309394,0.3869354144919696,0.27453733585557577,0.12376038389013072,0.09983317818507927,0.20216192248090975,0.14575886482187053,,0.84723190198811,4.708165958137962,-9.936975914948594,0.25392374070861695,-6.208181842574598,1.8090798826711914,-0.6040876300641704,0.29981274021164084,0.8246071560713015,8.176240250156516,-4.377083498527395,0.945804008682655,,,,,,,,
2017,6,False,2017-06-01,2017-07-27,2688,"(1, 0, 5)","(2, 1, 0, 48)",30386.567453797492,-15184.283726898746,88657.08324910425,0.030319714705052857,0.6629162092307214,0.6088270690887639,0.4451178030576313,0.15010856457874716,0.0582821944843063,-0.40686212611590433,-0.28980660332790953,,,,,,,,,,,,,0.9290656211364938,,,,,,,,
2017,9,True,2017-09-01,2017-10-27,2688,"(3, 0, 3)","(2, 0, 0, 48)",29775.53111069923,-14867.765555349615,23570.56567127703,0.017514857414094663,0.4375177404314233,-0.13724454505846642,0.15014954953320003,,,0.28947574661128317,0.1998102694576728,,-1.9878075694567454,7.073831798675337,-2.1797732846877205,-0.06728033291642134,-1.4761628835728375,1.312614218287679,-0.07790153836126992,0.08012133200439177,0.6293875382974647,7.678858795821407,2.573036256729628,0.8573512063013776,0.6008053473857722,,,,-0.5086620385657297,,,
2017,9,False,2017-09-01,2017-10-27,2688,"(1, 0, 5)","(3, 1, 0, 48)",29651.220726896034,-14815.610363448017,34786.08954591263,0.019233913060375685,0.44584687261745953,0.47853876389228606,0.2933601684590318,0.07829697721448568,0.043737987038399234,-0.5224276465774795,-0.3886940103757601,-0.16959580456066836,,,,,,,,,,,,0.9496960082733251,,,,,,,,
2018,1,True,2018-01-01,2018-02-26,2688,"(0, 0, 2)","(2, 0, 1, 48)",35849.27552571905,-17906.637762859526,325680.0950361455,0.05429485777079848,1.435225804830965,0.7888446855242395,,,,0.2802772344651793,0.16229507481888955,,-1.99801768316987,5.0681330282245565,56.990420742345215,0.11245329582141395,62.34154286499882,41.105242335605055,0.6370116664001648,0.9216442430990401,0.2047262751596035,-0.8613635604096017,6.852744103559671,,,402.4713387702136,0.38101251410494763,,,,,
2018,1,False,2018-01-01,2018-02-26,2688,"(0, 0, 4)","(0, 1, 1, 48)",33738.373378020566,-16863.186689010283,188430.07119344675,0.05246990895302342,1.9198432064903177,2.2150821217196546,1.5881402341871822,0.6331978552651211,,,,,,,,,,,,,,,,,,,-0.5724114420691929,,,,,
