year,month,exog,eval_date,train_obs,aic,mse_oob,mape_oob
2016,9,True,2017-01-01,5376,61097.779261048316,215928.19035788788,0.050968923041852764
2016,9,False,2017-01-01,5376,61359.42884658204,208789.59436096903,0.04475031483063482
2016,11,True,2017-01-01,2688,29917.79931136561,174622.56836849757,0.04497720774369237
2016,11,False,2017-01-01,2688,30721.931208624876,226446.3050825981,0.048368591738288606
2016,11,True,2017-03-01,5376,61158.058846673746,126661.18354170914,0.03657880988157817
2016,11,False,2017-03-01,5376,62344.17665954468,78256.92665909704,0.024555871579242338
2016,12,True,2017-01-01,336,3599.5320031684073,274839.36801070365,0.049075501817083235
2016,12,False,2017-01-01,336,3844.5322700985353,548662.2027515438,0.0714742763015391
2016,12,True,2017-01-01,672,7529.4674580892715,204663.65668755735,0.04747916877197885
2016,12,False,2017-01-01,672,7687.105375274094,518701.4545152351,0.07128712947342584
2016,12,True,2017-01-01,1344,14743.068331989129,176129.62953204583,0.04456018212417331
2016,12,False,2017-01-01,1344,15485.538082357314,242478.65944330057,0.04905042608169415
2017,1,True,2017-03-01,1344,14971.798513484177,114521.87807530903,0.034886845645169105
2017,1,False,2017-03-01,1344,15980.690068919888,80330.76226485091,0.023685367174371603
2017,1,True,2017-03-01,2688,30549.335898107212,171764.39038887716,0.04274772684207112
2017,1,False,2017-03-01,2688,31671.60571039327,82202.19559329037,0.02646570066080925
2017,2,True,2017-03-01,336,3226.5458476502363,120982.03369730517,0.03482602114624108
2017,2,False,2017-03-01,336,3961.9282173973525,172564.3558907105,0.04153587460471572
2017,2,True,2017-03-01,672,7245.5357341925355,92382.83789356837,0.03189751414301534
2017,2,False,2017-03-01,672,7851.323615587713,85955.76781960709,0.026795960422796028
2017,2,True,2017-06-01,5376,61315.9587161831,231796.55071678894,0.04141021682111238
2017,2,False,2017-06-01,5376,61375.27348231684,275589.04510606284,0.04095664290549655
2017,4,True,2017-06-01,2688,30120.32871588077,364557.12523858977,0.057016895936318535
2017,4,False,2017-06-01,2688,30324.331742392103,375695.99330411927,0.04862192100110394
2017,5,True,2017-06-01,336,3386.0337018806595,981840.3445589548,0.09197041949249296
2017,5,False,2017-06-01,336,3994.968030169038,348023.22127777006,0.048467082390671073
2017,5,True,2017-06-01,672,6941.424139010169,495139.48027509643,0.06528018893287042
2017,5,False,2017-06-01,672,7816.003106799817,515368.45905305055,0.056227039609790454
2017,5,True,2017-06-01,1344,14318.164266049145,358596.55426069716,0.056156080002500074
2017,5,False,2017-06-01,1344,15401.230172174608,582281.2409439115,0.05982271776437875
2017,5,True,2017-09-01,5376,60223.057402752165,24942.717055343106,0.013859081011951262
2017,5,False,2017-09-01,5376,62067.984021300785,76779.79289559544,0.021962414999933465
2017,7,True,2017-09-01,2688,29833.564253713976,24947.910343130876,0.014038998054232393
2017,7,False,2017-09-01,2688,31160.911188788297,74663.74617028031,0.021821037951493677
2017,8,True,2017-09-01,336,3504.122886124522,30783.405495738098,0.015002020602858277
2017,8,False,2017-09-01,336,4046.167925514791,63205.76014516619,0.02106845000180006
2017,8,True,2017-09-01,672,7096.489904273016,21118.339878275616,0.01247126072336644
2017,8,False,2017-09-01,672,7932.806454472284,73998.21298184356,0.021551055537808294
2017,8,True,2017-09-01,1344,14649.302775046439,31220.54550118744,0.016071623785478346
2017,8,False,2017-09-01,1344,15636.007882559239,95151.15169118089,0.02438122612373934
2017,9,True,2018-01-01,5376,61601.06586148698,719551.5992953479,0.08739049157045896
2017,9,False,2018-01-01,5376,61354.26030441093,526687.0739893662,0.08043250863228679
2017,11,True,2018-01-01,2688,31018.11206922703,436308.90026864846,0.07052884443115673
2017,11,False,2018-01-01,2688,30976.33375598835,512707.68699062226,0.07963401991528059
2017,11,True,2018-03-01,5376,62319.09073726826,159144.95865813387,0.037861618103141
2017,11,False,2018-03-01,5376,61918.409955925,175505.98751995337,0.037439021871135056
2017,12,True,2018-01-01,336,3557.3220091299463,640351.3399214725,0.09288769211734867
2017,12,False,2018-01-01,336,3995.078854094554,311778.1214686632,0.05797833169255095
2017,12,True,2018-01-01,672,7645.533998152219,404579.2885083629,0.06815814148126108
2017,12,False,2018-01-01,672,8098.060851240352,478836.8611315698,0.07684131364933787
2017,12,True,2018-01-01,1344,15629.085625883206,318462.396443838,0.060416986735028634
2017,12,False,2018-01-01,1344,15795.52666773631,414924.5288527757,0.07006732634150742
2018,1,True,2018-03-01,1344,15153.433382022096,151208.31603337685,0.04085697236962796
2018,1,False,2018-03-01,1344,15602.770029526448,231661.0815047375,0.04092740844072912
2018,1,True,2018-03-01,2688,30966.778954564015,172559.3706182581,0.04020513396328171
2018,1,False,2018-03-01,2688,31161.298674348443,147710.0105967569,0.035408225731708355
2018,2,True,2018-03-01,336,3437.504866225039,171634.68312842323,0.044955575470309594
2018,2,False,2018-03-01,336,3982.2322139792304,278383.2005973352,0.04376655848676567
2018,2,True,2018-03-01,672,7340.453572733488,168072.52385340532,0.04601595258352764
2018,2,False,2018-03-01,672,7921.382669933417,227278.21305509724,0.040681697293542936
2018,2,True,2018-06-01,5376,60855.15224069017,166944.82386964795,0.03133395184193168
2018,2,False,2018-06-01,5376,61531.63819169572,243825.6381278231,0.04042643432459444
2018,4,True,2018-06-01,2688,30024.87272190522,297128.4598715569,0.0510513185234916
2018,4,False,2018-06-01,2688,30661.81311992339,251348.032456115,0.041197455203744494
2018,5,True,2018-06-01,336,3366.221189382695,266795.615228429,0.043868281230305374
2018,5,False,2018-06-01,336,3964.1214295693553,336741.558305183,0.04846402675779498
2018,5,True,2018-06-01,672,7049.80497060645,164245.19126713026,0.032187606740650965
2018,5,False,2018-06-01,672,7810.750408151374,361856.29442940064,0.05214516783779089
2018,5,True,2018-06-01,1344,14741.371584894616,180483.57263265343,0.0337849985009644
2018,5,False,2018-06-01,1344,15528.534801172056,279207.7278487139,0.04374745040642949
2018,5,True,2018-09-01,5376,61289.885199080134,167698.04748156597,0.03856588862655114
2018,5,False,2018-09-01,5376,62545.908777723176,252174.08244508426,0.03914004965998072
2018,7,True,2018-09-01,2688,30025.11182862856,163018.0999673441,0.038168085162305736
2018,7,False,2018-09-01,2688,31453.45291470206,223391.27210665352,0.039073500945340255
2018,8,True,2018-09-01,336,3641.619428645314,186180.73149184883,0.039046741576467515
2018,8,False,2018-09-01,336,4173.899154588527,327235.5210775745,0.04862845335595095
2018,8,True,2018-09-01,672,7233.6505987729815,151736.85851087674,0.032997680062559265
2018,8,False,2018-09-01,672,8104.998614612063,261988.49262924507,0.04007296046659473
2018,8,True,2018-09-01,1344,14875.29169688746,165359.25263140802,0.03696966338061539
2018,8,False,2018-09-01,1344,15896.450103839532,298297.3537303733,0.03991035358893674
