,date,true_peak,true_peak_time,pred_peak,pred_peak_time,Total Train MSE,Total Train MAE,Total Train MAPE,Total Val MSE,Total Val MAE,Total Val MAPE,Peak Val MSE,Peak Val MAE,Peak Val MAPE
0,2010-03-14,8559.36,19:00:00,8835.852,09:30:00,921.2859821905901,24.481197916666662,0.003161476545782286,121648.51864570558,294.99493123372395,0.039849182108912994,76447.58413369108,276.4915624999994,0.032302831344866834
1,2010-04-03,8317.03,09:30:00,8244.353,18:30:00,388.9255736459725,14.67578125,0.001957368995247332,46068.67943757753,154.20556233723957,0.01976546341241543,5282.013328321934,72.67746093750065,0.00873839110084978
2,2010-04-23,9873.68,14:30:00,10191.8125,18:30:00,1270.6679231720752,27.732273763020885,0.0032056167130991103,32968.15129294686,129.1668371582032,0.014680651897938575,101208.28755624981,318.1324999999997,0.03222025627729476
3,2010-05-13,10747.02,18:30:00,10727.031,18:30:00,907.208703369467,22.641110432942714,0.002581732612185958,39412.8864464574,151.8117883300781,0.016700996354658024,399.55012656251745,19.988750000000437,0.001859934195711968
4,2010-06-02,11081.29,18:00:00,11131.853,18:00:00,1102.4746277230954,27.615334879557185,0.002918865244449346,11671.06017806952,85.69033528645826,0.00914486508017989,2556.57035644675,50.56253906249913,0.004562874815341817
5,2010-06-22,11953.04,18:00:00,12080.226,18:00:00,1174.8800682365434,27.616205240885392,0.0028514747018597623,113526.25947344767,240.82701334635422,0.02603765868954802,16176.173270264975,127.18558593749913,0.010640438410437773
6,2010-07-12,11579.28,18:30:00,10566.051,18:30:00,751.0534766257946,20.932552490234247,0.0025317433890334694,1368505.7506075744,992.4242073567708,0.10040493571229077,1026633.4497287367,1013.2292187500007,0.08750364606003141
7,2010-08-01,10440.03,19:00:00,9970.293,18:30:00,302.7764173115144,14.269422607421896,0.001687124177698068,166995.1390545564,361.69103149414065,0.04209078718679767,220652.87852756408,469.73703125000065,0.04499383921789503
8,2010-08-21,10286.54,18:30:00,10531.493,18:30:00,619.2059256087706,17.987736409505242,0.0020878619883149766,258861.1546505947,417.9317167154948,0.04958586436756688,60002.05258422961,244.95316406249913,0.023812979297460478
9,2010-09-10,10165.82,19:00:00,11063.208,18:30:00,442.09224024338846,16.886818033854166,0.0018963808593106257,199059.97671359926,305.1227994791667,0.03259225978338373,805305.236565688,897.3880078125003,0.08827502432784569
10,2010-09-30,10167.92,19:00:00,10038.836,19:00:00,390.5591886006537,15.513404134114637,0.001791984737228718,57207.71432940782,190.120233154297,0.02280263504189657,16662.695191503924,129.08406250000007,0.012695227981730783
11,2010-10-20,9257.11,10:00:00,9562.013,08:30:00,391.33877389444143,16.786629231770934,0.0019314060014599458,73367.00957917319,224.71266398111968,0.025994300148620808,92965.65360882685,304.9026953124994,0.03293713646186546
12,2010-11-09,9535.21,11:30:00,9721.904,13:30:00,554.8724452484956,19.506259358723884,0.0024335672635500136,55230.728963781214,177.31553263346362,0.02233909576219309,34854.760485650964,186.69429687500087,0.019579463575002638
13,2010-11-29,9557.18,09:30:00,8367.078,11:00:00,143.2300442463389,9.125778808593717,0.0011982965091169688,912885.9275595738,809.1898612467448,0.09162264606875543,1416342.4728785164,1190.1018750000003,0.12452437591423414
14,2010-12-19,8035.49,17:30:00,8478.384,09:30:00,170.30913053665137,9.844125976562546,0.0012885767589522728,100291.93389938027,271.62469970703125,0.037282580671025654,196154.90839013844,442.8937890625002,0.05511720991034775
15,2011-01-08,9224.3,15:00:00,9727.929,15:00:00,494.7757109177434,16.659117838541704,0.0020005872583664214,193054.79442054426,338.2749230957032,0.040573857019859376,253641.87848056867,503.6287109375007,0.05459804114539865
16,2011-01-28,10530.45,11:00:00,12725.678,15:00:00,1126.8983832571523,27.375838623046793,0.002630845529467255,2180364.608478909,1155.2663948567706,0.11945455056076787,4819024.805769192,2195.2277343749993,0.20846476023104418
17,2011-02-17,11099.12,13:30:00,10152.873,13:30:00,457.218476404554,18.4077815755208,0.0020715124206265806,411948.8774570694,557.5369018554686,0.056185498611984054,895383.2962983474,946.2469531250008,0.08525423214858482
18,2011-03-09,10295.09,16:00:00,10255.745,16:00:00,239.89945857038393,12.30385009765636,0.0014020202625181948,16694.854560650634,109.13942586262999,0.012439161194567077,1548.0198035293693,39.344882812500146,0.0038217133422340306
19,2011-03-29,9833.71,12:00:00,9639.409,11:00:00,280.24460286916366,12.65653808593756,0.001469377161622479,58666.05382448635,198.41846842447913,0.023773834798948984,37752.808774110075,194.30082031249913,0.019758648598799347
20,2011-04-18,10087.4,18:30:00,9200.353,18:30:00,989.2944497604693,24.326862792968786,0.0031176872054592595,1010334.1071539411,868.8261706542968,0.09685925615308977,786853.197955665,887.0474609374996,0.08793618384692782
21,2011-05-08,9529.96,18:30:00,9616.771,18:30:00,182.66869002301596,11.575325927734355,0.0013806402866491756,187931.4422681712,381.29856648763024,0.04971595901737613,7536.233819391021,86.81148437500087,0.009109323058543884
22,2011-05-28,10769.0,18:00:00,11277.522,18:00:00,239.39184822042782,12.178195800781262,0.0012967482702468944,435796.4801906215,547.0203112792968,0.05998898912300976,258595.0932779312,508.5224609375,0.047220954678939546
23,2011-06-17,11471.28,18:00:00,11568.742,18:30:00,177.88543383669185,10.56803588867183,0.0011188571137376766,21770.376393016148,122.00717407226558,0.012457984000090308,9498.877992285028,97.46218749999935,0.008496191139959912
24,2011-07-07,11615.54,18:30:00,11426.996,18:30:00,109.91601650148766,8.113693847656199,0.0008824817968701809,18096.652812793258,102.90234944661445,0.010371510435906015,35548.80458400912,188.54390625000087,0.01623203968562812
25,2011-07-27,12030.48,18:30:00,11883.525,18:30:00,140.31180385225593,9.51228352864581,0.000998344335578328,8908.669415857223,74.19614095052087,0.0072896269640611855,21595.65721655871,146.95460937499956,0.012215190863124295
26,2011-08-16,10920.83,18:30:00,11433.878,18:30:00,167.0038176851323,10.928222249348815,0.0011967188083221083,130158.09336411806,317.47377563476556,0.034902484188289194,263218.17815663,513.0479296875001,0.04697884040750566
27,2011-09-05,10169.53,18:30:00,9231.871,19:00:00,341.00293972555625,13.353879394531228,0.001722067410781019,1135901.151868823,906.1889538574219,0.10041497361438077,879204.2244699475,937.6589062500007,0.09220277694741061
28,2011-09-25,9644.48,19:00:00,9042.774,18:30:00,163.50917455600623,9.350312906901005,0.0011757588178365056,179604.78052777317,382.94002156575516,0.04847373412704237,362049.6121483897,601.7055859374996,0.06238859803094616
29,2011-10-15,8619.77,08:30:00,9413.785,10:00:00,716.6722410252675,19.44201293945315,0.0023530515340918824,780105.8917054074,788.1522542317708,0.10145105798014775,630460.0683547112,794.0151562499996,0.09211558501560942
30,2011-11-04,9129.88,10:00:00,9035.223,09:30:00,43.64669075804426,5.611364339192619,0.0006913677281830754,17895.78046604555,101.83412190755205,0.012301458153814414,8960.012725805513,94.6573437499992,0.010367862858000237
31,2011-11-24,9200.22,09:30:00,9411.203,10:30:00,95.8289041232926,7.892403157552185,0.0009430191935917651,48053.08114941232,199.13885416666673,0.024741215874576616,44513.8790347659,210.98312500000065,0.022932399986087364
