,rainfall,solar_exposure,min_temperature,max_temperature,peak_power
2011-05-09,0.0,10.0,7.6,16.9,11129.35
2011-05-10,0.0,12.6,6.8,16.3,11084.76
2011-05-11,0.0,8.6,2.0,15.2,11928.67
2011-05-12,0.0,13.4,3.5,16.2,11711.74
2011-05-13,0.0,11.2,5.7,20.4,10846.39
2011-05-14,0.0,12.8,7.9,16.7,10659.54
2011-05-15,0.0,12.7,4.7,18.5,10728.23
2011-05-16,0.0,12.7,3.1,19.3,11726.81
2011-05-17,0.0,12.0,3.8,18.1,11496.63
2011-05-18,0.0,12.0,5.1,20.4,11269.4
2011-05-19,0.0,10.4,9.3,20.9,10955.47
2011-05-20,0.0,11.8,7.8,22.5,10730.51
2011-05-21,0.0,11.4,8.0,23.2,9912.68
2011-05-22,0.0,9.6,8.4,22.4,9846.75
2011-05-23,1.0,9.8,11.7,22.6,10765.65
2011-05-24,0.0,5.5,8.0,18.0,11338.85
2011-05-25,1.4,6.6,11.3,14.6,11853.32
2011-05-26,0.0,9.3,6.9,18.7,11307.67
2011-05-27,0.0,9.0,3.6,17.1,11304.68
2011-05-28,0.0,9.0,7.2,17.4,10769.0
2011-05-29,0.0,5.9,8.4,16.9,10745.49
2011-05-30,13.6,2.5,11.0,15.9,12114.34
2011-05-31,60.0,4.8,14.5,19.5,11388.94
2011-06-01,16.6,7.2,13.5,19.0,11120.22
2011-06-02,2.4,10.1,10.4,18.7,10936.85
2011-06-03,0.0,10.6,7.9,19.7,10605.46
2011-06-04,0.0,5.5,8.6,18.7,10373.72
2011-06-05,0.2,10.7,8.7,16.8,10641.26
2011-06-06,0.0,8.6,3.5,17.1,11906.9
2011-06-07,0.0,8.9,4.0,14.4,12458.3
2011-06-08,0.4,11.0,3.8,13.4,12736.43
2011-06-09,0.0,10.4,5.0,15.8,12367.92
2011-06-10,0.0,6.7,4.0,15.8,12058.56
2011-06-11,1.4,6.7,8.5,14.9,11188.64
2011-06-12,1.2,6.0,11.5,15.5,10926.82
2011-06-13,3.6,6.0,12.4,16.3,11287.52
2011-06-14,7.0,4.4,14.1,16.7,12032.11
2011-06-15,4.6,7.7,14.0,17.3,11700.25
2011-06-16,9.2,6.2,7.0,16.6,11542.68
2011-06-17,0.0,9.8,4.6,18.0,11471.28
2011-06-18,0.0,10.1,4.8,17.0,10873.65
2011-06-19,0.0,10.2,4.9,17.9,10985.96
2011-06-20,0.0,10.1,3.1,18.9,11693.97
2011-06-21,0.0,8.7,9.8,20.5,12159.88
2011-06-22,0.0,10.3,6.2,15.5,12354.12
2011-06-23,0.0,10.0,6.1,19.2,11528.74
2011-06-24,0.0,10.2,2.9,17.5,11451.68
2011-06-25,0.0,10.2,4.7,18.8,10864.1
2011-06-26,0.0,10.5,3.7,20.0,10926.03
2011-06-27,0.0,9.2,1.8,18.3,11937.5
2011-06-28,0.0,8.3,5.2,16.1,11996.36
2011-06-29,0.8,6.3,9.6,17.2,11713.4
2011-06-30,2.6,5.7,11.2,16.3,11602.13
2011-07-01,1.2,7.3,9.3,16.4,11419.11
2011-07-02,1.2,9.8,7.3,18.8,10495.64
2011-07-03,0.0,9.9,5.8,19.6,10429.98
2011-07-04,0.0,5.5,12.0,19.9,10990.02
2011-07-05,2.2,10.5,8.5,16.3,11564.27
2011-07-06,0.0,10.0,5.6,17.0,11409.05
2011-07-07,0.0,10.4,7.7,16.4,11615.54
2011-07-08,0.0,10.9,1.0,16.2,11544.42
2011-07-09,0.0,10.7,3.7,16.0,11274.29
2011-07-10,0.0,10.8,2.9,15.9,11309.1
2011-07-11,0.0,10.8,3.6,16.7,12055.05
2011-07-12,0.0,11.0,3.4,17.8,11960.01
2011-07-13,0.0,2.7,7.8,12.2,12537.66
2011-07-14,0.0,10.8,5.2,14.0,12376.63
2011-07-15,0.0,9.1,4.0,13.3,12264.18
2011-07-16,2.4,7.2,8.7,16.2,11159.97
2011-07-17,1.0,6.8,7.1,15.7,11102.21
2011-07-18,0.0,9.2,7.2,18.2,11752.82
2011-07-19,0.0,8.2,5.6,13.9,12883.81
2011-07-20,21.4,6.3,11.7,16.9,12001.53
2011-07-21,7.6,2.2,10.9,12.3,12553.71
2011-07-22,50.0,3.2,9.5,12.8,12075.02
2011-07-23,23.6,6.0,7.9,14.9,11341.1
2011-07-24,1.0,8.5,4.9,14.5,11676.46
2011-07-25,0.2,10.2,5.9,17.8,11999.1
2011-07-26,0.0,10.8,3.8,17.6,11881.1
2011-07-27,0.0,10.8,4.4,16.3,12030.48
2011-07-28,0.0,12.2,4.6,19.2,11572.17
2011-07-29,0.0,12.8,3.8,19.1,11314.46
2011-07-30,0.0,12.8,3.2,19.7,10657.41
2011-07-31,0.0,10.6,3.5,19.8,10657.64
2011-08-01,0.0,12.9,5.1,21.9,11064.34
2011-08-02,0.0,12.7,4.9,22.1,10851.77
2011-08-03,0.0,10.2,7.7,24.8,10496.71
2011-08-04,0.0,13.0,7.3,25.3,10383.83
2011-08-05,0.0,12.5,6.0,23.4,10031.96
2011-08-06,0.0,8.8,5.7,22.9,9491.69
2011-08-07,1.2,8.1,10.8,18.8,10103.32
2011-08-08,1.2,10.0,5.3,16.2,11448.0
2011-08-09,0.0,9.6,4.5,15.4,11731.44
2011-08-10,0.0,12.6,3.3,17.3,11627.38
2011-08-11,0.0,10.9,2.1,16.6,11637.49
2011-08-12,8.4,9.1,8.3,16.1,11059.76
2011-08-13,0.0,12.3,4.6,18.5,10382.26
2011-08-14,0.4,10.4,9.1,15.7,10504.59
2011-08-15,0.0,11.0,7.2,17.2,11417.66
2011-08-16,0.0,12.6,7.7,17.9,10920.83
2011-08-17,0.0,5.0,6.6,15.8,11539.07
2011-08-18,8.4,14.8,6.7,17.6,11169.73
2011-08-19,0.8,7.1,6.5,16.3,11396.53
2011-08-20,13.6,12.8,12.9,17.3,10233.12
2011-08-21,2.0,12.3,10.0,16.7,10480.0
2011-08-22,0.0,12.4,9.2,16.0,11174.28
2011-08-23,0.2,11.3,8.0,17.0,10863.28
2011-08-24,0.0,16.1,6.6,19.1,10495.38
2011-08-25,0.0,17.1,5.3,22.1,10146.55
2011-08-26,0.0,16.3,6.8,19.3,9941.81
2011-08-27,0.0,9.8,8.7,19.6,9760.19
2011-08-28,0.0,14.2,9.2,20.4,9647.79
2011-08-29,0.0,16.3,8.1,22.1,10439.7
2011-08-30,0.0,11.7,9.8,16.6,10775.43
2011-08-31,0.0,16.2,7.9,18.4,10354.61
2011-09-01,0.0,13.8,11.1,18.2,10211.69
2011-09-02,0.0,8.9,8.5,17.1,10111.38
2011-09-03,0.0,15.1,6.6,19.7,9431.07
2011-09-04,0.0,16.9,6.1,21.2,9237.76
2011-09-05,0.0,12.2,10.6,22.3,10169.53
2011-09-06,0.0,17.3,10.5,25.4,10160.6
2011-09-07,1.2,17.5,11.2,19.1,10160.66
2011-09-08,0.0,7.1,10.6,17.7,10401.83
2011-09-09,13.8,3.8,9.5,13.7,10809.74
2011-09-10,1.6,14.3,5.2,16.3,10157.7
2011-09-11,0.0,17.0,6.9,17.7,10139.17
2011-09-12,0.2,17.8,7.4,17.1,10694.88
2011-09-13,0.0,19.8,4.0,22.9,10244.11
2011-09-14,0.0,19.5,4.7,25.7,9789.78
2011-09-15,0.0,17.4,11.9,20.2,9802.14
2011-09-16,0.0,16.4,7.3,24.2,9372.8
2011-09-17,0.0,18.6,8.8,23.2,8939.25
2011-09-18,0.0,19.3,8.8,29.4,8965.39
2011-09-19,0.0,18.4,10.8,22.1,9767.35
2011-09-20,0.0,19.1,12.3,27.3,9692.28
2011-09-21,0.0,21.1,6.8,21.4,9582.52
2011-09-22,0.0,21.2,7.5,22.8,9648.56
2011-09-23,0.0,21.2,8.4,30.6,9272.15
2011-09-24,0.0,5.1,13.2,17.4,9034.74
2011-09-25,15.6,3.9,12.0,15.1,9644.48
2011-09-26,27.8,15.9,10.8,17.7,10014.74
2011-09-27,0.0,20.1,7.7,19.7,9793.67
2011-09-28,0.0,7.6,9.0,17.6,10276.79
2011-09-29,5.6,14.3,13.1,21.6,10083.41
2011-09-30,0.0,20.6,8.5,20.1,9457.91
2011-10-01,0.0,15.1,6.2,18.9,9185.15
2011-10-02,3.4,9.5,11.1,16.3,9120.34
2011-10-03,8.2,18.9,9.8,16.9,8997.73
2011-10-04,0.0,13.5,9.3,18.0,9537.59
2011-10-05,0.0,17.3,7.7,18.7,9480.77
2011-10-06,0.0,10.1,10.9,18.7,9837.67
2011-10-07,2.2,16.3,13.8,22.0,9363.79
2011-10-08,0.6,11.4,13.1,20.1,8684.4
2011-10-09,0.8,16.5,13.0,23.1,8583.44
2011-10-10,0.0,21.9,9.9,20.9,9262.05
2011-10-11,0.0,21.4,10.0,20.2,9213.07
2011-10-12,0.0,23.8,7.1,19.9,9271.04
2011-10-13,0.0,14.2,13.9,20.1,9188.62
2011-10-14,0.0,3.0,15.6,18.4,9416.13
2011-10-15,0.6,20.2,15.2,23.8,8619.77
2011-10-16,0.0,26.4,13.0,21.1,8338.06
2011-10-17,0.0,23.3,11.2,17.9,9307.79
2011-10-18,0.0,22.0,9.9,19.9,9225.94
2011-10-19,0.0,27.0,8.6,22.5,9056.08
2011-10-20,0.0,27.5,9.3,26.3,9267.37
2011-10-21,0.0,26.9,12.0,30.0,9535.75
2011-10-22,0.0,25.5,15.9,27.6,8561.87
2011-10-23,0.0,25.0,17.7,26.4,8776.53
2011-10-24,0.0,26.2,15.1,32.4,10337.52
2011-10-25,3.0,3.5,14.7,22.8,9348.93
2011-10-26,5.4,6.3,13.4,17.1,9082.57
2011-10-27,3.4,8.2,13.3,19.1,9083.63
2011-10-28,0.0,19.9,12.9,22.2,9295.5
2011-10-29,0.0,13.3,15.1,28.1,8604.03
2011-10-30,0.0,21.1,15.0,26.2,8560.64
2011-10-31,0.0,23.1,11.8,20.4,9109.43
2011-11-01,0.0,19.6,14.8,19.8,9036.1
2011-11-02,0.0,25.4,12.3,22.8,9067.17
2011-11-03,7.0,6.2,13.4,17.8,9041.9
2011-11-04,6.6,21.7,14.1,21.3,9129.88
2011-11-05,0.2,29.5,13.3,24.4,8545.1
2011-11-06,0.0,20.3,14.9,31.9,8761.23
2011-11-07,0.6,21.8,19.1,28.9,10475.87
2011-11-08,7.8,19.9,18.9,32.8,11038.81
2011-11-09,9.2,21.7,18.0,32.0,11492.71
2011-11-10,0.2,13.3,17.9,28.5,9956.47
2011-11-11,0.4,26.9,16.3,22.9,9631.06
2011-11-12,0.0,25.4,18.4,25.7,8601.81
2011-11-13,0.0,19.5,18.2,24.2,8595.65
2011-11-14,0.0,25.2,16.5,36.3,11716.76
2011-11-15,0.0,30.1,15.6,24.4,10346.73
2011-11-16,0.0,4.5,15.7,21.5,9648.11
2011-11-17,10.2,3.7,15.6,19.0,9326.95
2011-11-18,2.2,26.1,15.9,24.4,9852.57
2011-11-19,0.0,27.4,15.6,30.6,9873.39
2011-11-20,0.0,16.3,17.9,34.4,9282.73
2011-11-21,3.2,10.5,15.4,21.9,9541.55
2011-11-22,6.4,2.3,14.8,21.3,9594.61
2011-11-23,33.6,2.8,14.6,17.8,9402.73
2011-11-24,13.0,3.7,15.6,17.9,9200.22
2011-11-25,7.4,2.7,15.3,19.2,9470.3
2011-11-26,31.6,16.7,18.7,28.8,8924.59
2011-11-27,5.6,31.0,16.3,28.7,8448.93
2011-11-28,0.0,31.6,14.3,27.8,10438.1
2011-11-29,0.0,25.2,16.5,27.0,10880.01
2011-11-30,0.0,13.5,17.3,30.8,10371.48
2011-12-01,1.8,22.8,13.4,19.1,9098.75
2011-12-02,1.0,18.6,13.2,19.5,9018.85
2011-12-03,0.2,32.9,11.3,21.9,8248.24
2011-12-04,0.0,12.1,11.9,20.2,8080.59
2011-12-05,3.2,19.1,11.4,18.1,8817.62
2011-12-06,2.8,8.8,11.1,17.9,8907.36
2011-12-07,0.0,16.4,9.2,20.1,9049.84
2011-12-08,15.6,11.6,16.1,22.0,9204.87
2011-12-09,1.0,16.9,13.5,23.3,9282.49
2011-12-10,0.0,15.9,15.5,23.6,8648.45
2011-12-11,0.0,14.8,15.7,27.8,8290.3
2011-12-12,28.6,6.5,17.0,19.7,9525.99
2011-12-13,5.8,18.5,16.1,21.0,9174.99
2011-12-14,0.0,22.3,13.8,19.8,9148.45
2011-12-15,0.0,24.6,14.0,21.0,9172.88
2011-12-16,0.0,12.6,12.5,21.0,9225.96
2011-12-17,0.0,22.6,14.6,21.5,8493.85
2011-12-18,0.0,20.2,13.6,23.5,8162.64
2011-12-19,0.0,7.6,18.6,23.9,9521.17
2011-12-20,15.8,18.2,17.3,22.6,9308.97
2011-12-21,0.0,13.9,17.8,22.3,9370.19
2011-12-22,0.0,9.8,18.3,21.4,9279.81
2011-12-23,5.2,18.5,18.4,25.4,9077.98
2011-12-24,30.8,28.8,18.0,26.5,8668.75
2011-12-25,0.0,28.9,16.8,26.1,7684.56
2011-12-26,0.0,14.4,19.4,27.8,7843.28
2011-12-27,0.0,20.8,18.8,22.4,7679.13
2011-12-28,0.0,28.2,17.5,22.8,8267.34
2011-12-29,0.0,29.5,15.7,23.0,8339.79
2011-12-30,0.0,25.6,16.2,23.4,8269.52
2011-12-31,0.0,22.8,14.4,23.0,8016.84
2012-01-01,0.0,33.9,12.9,26.0,8124.52
2012-01-02,0.0,32.7,14.8,26.5,8973.61
2012-01-03,0.0,32.1,17.1,27.4,10704.49
2012-01-04,0.0,22.3,18.8,35.5,11220.06
2012-01-05,0.0,21.7,19.7,25.7,9740.3
2012-01-06,0.0,11.9,14.2,21.3,9117.6
2012-01-07,0.0,32.5,12.4,24.7,8445.47
2012-01-08,0.2,16.3,18.3,27.9,9025.04
2012-01-09,11.8,31.8,20.3,25.3,10186.78
2012-01-10,0.0,31.5,18.1,28.3,9859.28
2012-01-11,0.0,32.7,16.0,26.8,9353.06
2012-01-12,0.0,33.0,12.2,20.7,9000.88
2012-01-13,0.2,32.2,12.5,25.4,9490.09
2012-01-14,3.2,7.4,17.5,21.6,8539.42
2012-01-15,5.0,20.1,17.3,23.1,8325.82
2012-01-16,2.2,21.3,16.7,24.6,9732.95
2012-01-17,25.2,32.0,15.6,25.6,10144.54
2012-01-18,0.0,29.7,18.7,28.4,10936.74
2012-01-19,0.0,26.8,19.3,25.6,10668.94
2012-01-20,0.0,21.7,19.2,25.6,10542.15
2012-01-21,0.0,12.0,20.7,24.1,8921.79
2012-01-22,5.8,19.3,20.5,24.5,8390.93
2012-01-23,0.8,24.7,19.7,23.5,9778.67
2012-01-24,0.0,12.2,15.6,23.3,9895.26
2012-01-25,1.6,7.7,20.2,24.2,10161.24
2012-01-26,31.6,17.1,19.8,27.2,8722.07
2012-01-27,2.6,14.2,19.9,23.9,9700.83
2012-01-28,0.8,19.2,19.5,25.9,8957.42
2012-01-29,0.0,23.1,18.2,26.7,8963.04
2012-01-30,3.6,25.4,21.7,32.4,11885.53
2012-01-31,0.0,15.8,19.5,27.2,10665.14
2012-02-01,20.6,4.1,17.0,20.4,9456.75
2012-02-02,4.4,3.0,16.3,19.8,9360.67
2012-02-03,27.4,6.1,16.4,21.0,9414.51
2012-02-04,29.4,24.2,18.0,24.2,8779.94
2012-02-05,0.2,29.5,16.1,28.0,9128.0
2012-02-06,0.0,23.8,18.3,24.0,9984.37
2012-02-07,0.2,5.0,18.9,22.5,9579.61
2012-02-08,0.0,6.9,17.2,22.5,9324.04
2012-02-09,0.6,11.7,16.6,24.9,9519.89
2012-02-10,8.4,19.1,19.1,25.5,9590.15
2012-02-11,0.2,16.3,16.0,23.5,8493.65
2012-02-12,13.8,20.3,14.4,25.5,8227.5
2012-02-13,15.8,14.7,16.6,24.4,9682.51
2012-02-14,0.0,20.5,16.8,23.8,9608.3
2012-02-15,0.0,21.3,17.5,25.1,9784.76
2012-02-16,0.0,27.2,16.0,26.4,10033.92
2012-02-17,0.0,18.0,16.3,27.4,10201.17
2012-02-18,5.2,22.0,17.9,25.1,8888.48
2012-02-19,0.2,26.4,18.1,27.6,9283.69
2012-02-20,16.0,17.8,18.3,26.2,10399.3
2012-02-21,5.2,22.4,19.1,24.4,9674.18
2012-02-22,0.2,21.9,16.3,24.2,9615.66
2012-02-23,0.0,26.9,15.7,27.9,10495.26
2012-02-24,0.0,27.3,16.4,28.3,10824.52
2012-02-25,0.0,26.5,16.1,26.6,9231.6
2012-02-26,0.0,12.1,20.6,27.2,8941.64
2012-02-27,0.0,18.3,21.3,28.5,11100.05
2012-02-28,0.0,13.2,21.7,31.2,11520.04
2012-02-29,5.2,3.5,19.7,21.5,9916.0
2012-03-01,24.2,4.4,18.9,29.9,10620.76
2012-03-02,12.0,2.5,17.2,20.1,9571.54
2012-03-03,11.4,3.1,17.2,21.3,8644.75
2012-03-04,3.0,14.7,20.1,28.4,9115.92
2012-03-05,10.6,25.7,17.8,25.5,9736.7
2012-03-06,0.0,18.5,17.8,22.1,9407.06
2012-03-07,0.0,11.8,15.5,20.7,9017.7
2012-03-08,89.6,5.2,14.5,20.4,9148.31
2012-03-09,4.8,23.9,12.3,27.5,9177.88
2012-03-10,0.0,23.4,14.1,25.2,8452.36
2012-03-11,0.0,23.6,14.7,25.0,8308.83
2012-03-12,0.0,12.7,16.9,24.1,9448.73
2012-03-13,0.0,22.9,13.9,25.5,9783.38
2012-03-14,0.0,21.8,15.3,25.3,9814.85
2012-03-15,0.0,17.6,17.4,27.2,10181.22
2012-03-16,0.0,20.3,17.6,29.3,10584.64
2012-03-17,37.8,2.7,18.0,23.0,8768.48
2012-03-18,1.2,14.7,15.9,21.7,8257.84
2012-03-19,2.8,7.8,17.3,22.6,9226.65
2012-03-20,6.2,7.7,15.1,24.6,9308.0
2012-03-21,0.2,16.5,17.8,26.9,9621.12
2012-03-22,0.0,2.2,16.9,19.9,9216.88
2012-03-23,4.0,22.9,15.4,24.8,9119.44
2012-03-24,0.2,22.9,11.6,23.2,8146.19
2012-03-25,0.0,10.0,11.5,21.0,8157.52
2012-03-26,0.0,15.7,13.4,23.8,9064.8
2012-03-27,0.0,14.5,15.7,25.0,9272.5
2012-03-28,0.0,3.9,18.0,22.9,9350.44
2012-03-29,0.0,12.8,14.3,26.0,9273.11
2012-03-30,0.2,15.4,14.7,23.1,9128.76
2012-03-31,0.0,19.0,12.7,26.8,8260.91
2012-04-01,0.0,17.7,13.4,26.2,8742.11
2012-04-02,2.6,17.7,16.0,24.8,9602.4
2012-04-03,0.0,18.8,14.1,28.6,9853.97
2012-04-04,0.0,18.6,16.3,26.4,9732.1
2012-04-05,0.0,16.2,16.5,25.4,9478.4
2012-04-06,0.0,17.7,15.2,25.1,8273.17
2012-04-07,0.0,19.2,15.4,26.8,8342.88
2012-04-08,0.0,7.3,17.3,24.1,8094.94
2012-04-09,9.4,19.6,9.5,23.5,8470.58
2012-04-10,0.0,16.6,9.3,17.6,9510.65
2012-04-11,0.0,14.9,9.5,18.6,9596.45
2012-04-12,2.4,16.6,11.0,20.5,9615.37
2012-04-13,0.2,17.7,9.4,25.0,9261.67
2012-04-14,0.0,15.1,11.5,25.1,8697.45
2012-04-15,0.0,13.0,15.6,25.3,8706.13
2012-04-16,0.0,14.3,11.9,23.7,9598.52
2012-04-17,3.2,5.8,15.7,20.0,9714.27
2012-04-18,56.6,2.9,16.4,20.7,9754.97
2012-04-19,77.4,9.0,17.3,23.7,9694.07
2012-04-20,6.2,15.3,15.9,26.1,9600.49
2012-04-21,0.0,12.8,16.2,23.9,8840.16
2012-04-22,0.0,8.6,14.0,23.4,9001.32
2012-04-23,0.8,2.9,14.3,19.1,9955.21
2012-04-24,2.4,12.4,12.4,24.0,9730.71
2012-04-25,1.8,15.1,8.6,19.4,9033.08
2012-04-26,0.0,13.1,12.7,19.8,9888.86
2012-04-27,0.0,14.7,9.1,21.8,9592.9
2012-04-28,0.0,12.0,11.4,22.9,8952.87
2012-04-29,0.0,8.5,8.9,18.9,9426.89
2012-04-30,0.0,9.1,8.4,19.3,10270.14
2012-05-01,0.0,14.7,9.3,22.3,10012.7
2012-05-02,0.0,14.8,9.1,24.7,10069.05
2012-05-03,2.2,15.0,12.1,21.8,9919.73
2012-05-04,0.0,15.3,9.9,20.8,9790.99
2012-05-05,0.0,13.0,11.1,19.6,9283.14
2012-05-06,0.0,15.2,7.6,21.4,9556.21
2012-05-07,0.0,9.0,8.1,18.0,10698.38
2012-05-08,0.0,13.5,6.8,23.0,10148.45
2012-05-09,0.0,13.5,7.1,26.8,10029.34
2012-05-10,0.0,13.3,10.0,27.3,9940.74
2012-05-11,0.0,10.3,10.4,25.3,9750.34
2012-05-12,0.0,11.7,9.6,19.0,9329.88
2012-05-13,0.0,12.8,5.2,17.3,9699.31
2012-05-14,0.0,11.4,6.6,16.9,11227.89
2012-05-15,0.0,12.5,6.7,18.5,10892.05
2012-05-16,0.0,12.0,7.6,19.1,10687.08
2012-05-17,0.0,12.3,7.1,20.3,10622.89
2012-05-18,0.0,12.2,7.3,22.0,10208.29
2012-05-19,0.0,11.8,6.5,20.9,9822.42
2012-05-20,0.0,9.6,6.0,16.0,10231.65
2012-05-21,0.0,11.5,8.4,20.1,10798.92
2012-05-22,0.0,11.6,5.8,20.4,10797.37
2012-05-23,0.0,11.5,3.7,21.7,10564.02
2012-05-24,0.0,3.8,4.0,14.5,11473.83
2012-05-25,10.4,7.2,11.6,17.7,10967.16
2012-05-26,0.0,10.7,7.3,16.8,10332.7
2012-05-27,0.0,10.2,8.3,17.7,10375.32
2012-05-28,0.0,10.7,7.3,17.5,11364.32
2012-05-29,1.4,6.1,7.7,16.0,11198.67
2012-05-30,0.0,9.2,6.6,17.7,11094.39
2012-05-31,0.2,9.0,11.0,18.0,10901.26
2012-06-01,0.0,8.0,8.8,18.5,10693.58
2012-06-02,0.0,4.7,12.3,17.4,10224.45
2012-06-03,8.0,3.0,12.5,14.9,10289.52
2012-06-04,6.4,10.2,9.3,20.0,11010.85
2012-06-05,0.0,6.1,7.5,15.3,12152.87
2012-06-06,15.8,5.9,9.7,14.6,11874.83
2012-06-07,0.6,10.7,5.2,15.8,11597.89
2012-06-08,0.0,10.6,3.8,16.6,11504.56
2012-06-09,0.0,10.6,4.0,17.3,10756.06
2012-06-10,0.4,5.8,8.3,14.0,10633.87
2012-06-11,28.8,2.5,11.1,13.7,11453.97
2012-06-12,56.4,7.5,11.8,17.7,11446.72
2012-06-13,2.6,7.1,8.3,15.5,11306.18
2012-06-14,0.4,9.2,8.9,18.5,10958.89
2012-06-15,0.0,8.2,7.7,20.4,10523.78
2012-06-16,0.2,2.8,7.8,13.0,10753.98
2012-06-17,9.2,10.2,7.4,18.2,10618.92
2012-06-18,0.0,10.2,4.6,18.2,11415.61
2012-06-19,0.0,10.1,4.1,18.7,11455.29
2012-06-20,0.0,10.0,4.6,16.8,11629.04
2012-06-21,0.0,5.3,2.6,17.6,11666.13
2012-06-22,0.0,3.9,6.3,17.2,11310.94
2012-06-23,0.0,10.1,4.6,16.3,10960.18
2012-06-24,0.0,10.1,2.8,17.4,11145.74
2012-06-25,0.0,10.2,1.7,18.9,11805.74
2012-06-26,0.0,4.0,6.6,12.9,12096.07
2012-06-27,0.0,9.2,5.2,15.3,11654.65
2012-06-28,0.0,8.3,5.0,17.5,11234.93
2012-06-29,0.0,9.3,8.5,19.5,10441.34
2012-06-30,0.0,9.5,4.8,19.2,10128.04
2012-07-01,0.0,8.5,6.0,15.5,10901.71
2012-07-02,0.0,10.0,2.0,15.7,11695.39
2012-07-03,0.0,10.2,5.4,15.4,11801.08
2012-07-04,0.0,9.9,6.4,15.5,11738.11
2012-07-05,0.0,8.0,8.4,14.5,11828.56
2012-07-06,10.8,8.2,8.8,14.5,11386.69
2012-07-07,1.2,5.5,8.1,14.6,10627.3
2012-07-08,0.0,10.5,6.2,18.0,10490.4
2012-07-09,0.0,10.7,4.2,17.9,11270.91
2012-07-10,0.0,7.1,5.8,17.9,11338.83
2012-07-11,6.8,11.0,8.8,19.4,10519.17
2012-07-12,0.0,3.6,8.1,16.1,10971.92
2012-07-13,1.0,10.1,8.7,23.1,9853.22
2012-07-14,0.0,10.9,6.6,19.2,9563.39
2012-07-15,0.0,11.3,4.6,17.0,10327.84
2012-07-16,0.0,11.4,5.1,19.7,11186.8
2012-07-17,0.0,11.5,3.9,19.9,10903.66
2012-07-18,0.0,11.3,5.4,18.5,10780.39
2012-07-19,0.0,8.9,3.9,14.1,11467.0
2012-07-20,0.0,11.8,4.7,15.6,11023.44
2012-07-21,0.0,6.2,9.1,14.9,10482.85
2012-07-22,0.0,9.4,8.4,16.2,10649.18
2012-07-23,2.2,5.5,8.7,15.2,11441.97
2012-07-24,4.4,5.4,9.5,13.9,11442.57
2012-07-25,1.6,10.8,8.1,18.7,10842.58
2012-07-26,0.0,4.8,7.7,18.7,10844.47
2012-07-27,0.0,12.2,4.7,17.1,10808.8
2012-07-28,0.0,12.3,5.4,17.2,10183.27
2012-07-29,0.0,10.2,4.7,15.2,10692.91
2012-07-30,0.0,12.8,5.4,14.4,11832.23
2012-07-31,0.0,9.9,6.3,14.5,11897.55
2012-08-01,0.0,11.5,5.4,15.0,11887.6
2012-08-02,0.0,13.1,4.3,15.5,11542.51
2012-08-03,0.0,10.9,3.1,17.6,10932.16
2012-08-04,0.0,13.1,1.3,19.5,9878.96
2012-08-05,0.0,12.0,1.6,20.8,9905.91
2012-08-06,0.0,13.7,4.8,17.4,10983.0
2012-08-07,0.0,13.9,4.0,17.3,11230.69
2012-08-08,0.0,14.1,0.7,20.8,10747.61
2012-08-09,0.0,13.5,5.5,18.5,11061.25
2012-08-10,0.0,8.8,6.5,14.6,11344.03
2012-08-11,0.0,10.4,8.9,15.7,10487.82
2012-08-12,0.0,9.5,10.3,14.4,10642.42
2012-08-13,0.0,14.9,6.3,18.3,10934.24
2012-08-14,0.0,11.1,3.7,18.0,11114.87
2012-08-15,0.0,10.1,3.3,21.7,10334.43
2012-08-16,0.0,15.2,5.9,19.2,10336.06
2012-08-17,0.0,13.1,3.2,21.2,10504.07
2012-08-18,0.0,14.7,9.2,17.8,9885.4
2012-08-19,0.0,15.2,4.9,18.7,9845.55
2012-08-20,0.0,16.2,3.4,18.2,11014.04
2012-08-21,0.0,16.6,6.4,21.1,10321.09
2012-08-22,0.0,14.5,6.8,23.1,9740.96
2012-08-23,0.0,12.5,10.4,28.7,9630.98
2012-08-24,6.8,17.1,10.8,18.8,9655.18
2012-08-25,0.0,17.3,6.7,19.3,9093.08
2012-08-26,0.0,17.2,3.2,19.6,9575.6
2012-08-27,0.0,17.3,5.8,18.9,10492.66
2012-08-28,0.0,16.5,4.5,19.5,10311.26
2012-08-29,0.0,12.5,5.7,21.1,9882.16
2012-08-30,0.0,17.4,8.6,21.2,9871.63
2012-08-31,0.0,15.3,6.1,17.4,10378.47
2012-09-01,1.2,13.1,2.9,15.9,9812.72
2012-09-02,0.0,17.3,6.0,19.6,9263.42
2012-09-03,0.0,17.6,4.0,20.3,10017.47
2012-09-04,0.0,17.6,3.9,23.7,9749.72
2012-09-05,0.0,18.0,4.5,27.2,9263.74
2012-09-06,0.0,18.2,11.4,26.9,9205.33
2012-09-07,0.0,14.1,7.5,20.7,9280.25
2012-09-08,0.0,18.8,9.2,20.1,8724.54
2012-09-09,0.0,19.0,6.8,19.5,8852.08
2012-09-10,0.0,19.1,4.7,24.1,9430.58
2012-09-11,0.0,16.6,9.5,20.0,9386.36
2012-09-12,0.0,19.0,7.6,22.0,9218.51
2012-09-13,0.0,8.7,8.2,22.4,9987.44
2012-09-14,2.0,20.3,6.0,17.7,9320.27
2012-09-15,0.0,18.5,5.1,17.8,8835.44
2012-09-16,0.0,20.3,6.9,19.9,8737.92
2012-09-17,0.0,16.1,12.1,19.0,9516.14
