,rainfall,solar_exposure,min_temperature,max_temperature,peak_power
2010-04-23,0.0,15.6,14.3,29.9,9873.68
2010-04-24,0.0,8.5,16.3,28.1,8914.15
2010-04-25,0.0,4.3,14.5,21.7,8702.75
2010-04-26,0.0,15.6,10.2,20.7,9173.9
2010-04-27,0.0,8.6,8.1,19.6,10227.81
2010-04-28,0.0,15.1,7.6,24.2,9914.36
2010-04-29,0.0,15.0,8.1,24.6,10047.07
2010-04-30,0.0,7.6,9.0,19.7,9993.32
2010-05-01,0.0,9.6,11.8,21.6,9130.96
2010-05-02,0.0,14.6,10.4,25.9,9257.33
2010-05-03,0.0,11.4,11.2,22.9,10251.33
2010-05-04,0.0,8.8,12.3,25.0,10125.57
2010-05-05,0.0,7.1,11.0,20.4,10226.26
2010-05-06,1.0,14.4,7.4,20.8,10351.52
2010-05-07,0.0,14.3,6.8,22.4,9959.11
2010-05-08,0.0,13.9,9.0,23.1,9303.68
2010-05-09,0.0,13.7,10.1,24.4,9095.66
2010-05-10,0.0,13.5,9.1,24.2,10268.92
2010-05-11,0.0,13.3,8.0,25.9,10294.59
2010-05-12,0.0,13.7,8.4,17.8,10745.74
2010-05-13,0.0,12.8,5.7,20.6,10747.02
2010-05-14,0.0,13.0,8.1,19.5,10463.06
2010-05-15,0.0,11.8,8.0,20.4,9732.1
2010-05-16,0.0,11.6,7.6,21.1,9919.82
2010-05-17,0.2,5.5,11.2,18.2,11346.36
2010-05-18,20.6,6.5,12.0,16.2,11303.47
2010-05-19,7.4,10.7,11.1,18.7,10968.15
2010-05-20,3.7,9.9,8.3,19.2,10888.93
2010-05-21,0.0,9.3,10.0,19.0,10633.79
2010-05-22,0.4,8.9,10.0,17.4,10304.9
2010-05-23,0.0,7.2,8.6,15.1,10535.32
2010-05-24,0.0,7.4,7.5,18.5,11422.97
2010-05-25,2.4,3.4,11.5,16.2,11196.83
2010-05-26,9.0,2.1,11.1,17.8,11460.55
2010-05-27,35.2,7.5,11.5,18.3,11081.58
2010-05-28,2.4,9.1,9.0,21.0,10598.6
2010-05-29,3.2,2.9,12.1,16.6,10399.93
2010-05-30,8.5,8.3,8.6,18.8,10406.22
2010-05-31,13.8,6.8,11.1,18.9,11422.61
2010-06-01,6.9,9.8,9.5,18.4,11168.48
2010-06-02,0.0,9.4,8.6,18.6,11081.29
2010-06-03,17.6,6.0,13.8,17.9,11260.84
2010-06-04,35.2,4.1,13.9,18.3,11191.34
2010-06-05,19.8,8.2,11.6,19.0,10180.12
2010-06-06,0.0,9.7,8.6,17.7,10840.73
2010-06-07,0.2,8.5,6.4,15.3,11999.54
2010-06-08,0.0,10.6,7.3,17.8,11686.68
2010-06-09,0.0,9.3,4.6,16.6,12065.1
2010-06-10,0.0,10.8,5.5,16.0,12008.32
2010-06-11,0.0,10.7,3.6,17.0,11817.31
2010-06-12,0.0,10.0,5.0,15.5,11293.94
